sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
MID0500,Arabic,الفقيه اللي عملناه إقابل الجامع عاد فالحصاير طامع.,"This proverb is said about a person you thought well of, but he deserves you to think badly of him.","[""Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb \""Meet me, but don't feed me.\"""", ""The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness."", ""Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.""]",False,S1,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""","Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.","The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.","This proverb is said about a person you thought well of, but he deserves you to think badly of him.",D
MID0631,Arabic,مد رجليك قدر لحافك,"Always keep your ambitions within the limits of your financial and social status, and so on. For example, if a poor man wants to propose to a beautiful and wealthy girl, he is told, “Stretch your legs to the length of your blanket.”","[""This proverb is said when someone sells to another a product that he has not seen, or the seller does not want to show it to him, or he may promise to show it to him later, and asks him to set a specific price for it. Just as you cannot sell or buy fish while it is in the sea, you cannot buy something without seeing it and evaluating it. This proverb is used when you are wanted to express your opinion on something that you have not tried or seen."", ""Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb \""Meet me, but don't feed me.\"""", ""Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.""]",False,S1,"Always keep your ambitions within the limits of your financial and social status, and so on. For example, if a poor man wants to propose to a beautiful and wealthy girl, he is told, “Stretch your legs to the length of your blanket.”","This proverb is said when someone sells to another a product that he has not seen, or the seller does not want to show it to him, or he may promise to show it to him later, and asks him to set a specific price for it. Just as you cannot sell or buy fish while it is in the sea, you cannot buy something without seeing it and evaluating it. This proverb is used when you are wanted to express your opinion on something that you have not tried or seen.",Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""",A
MID0024,Arabic,إنّ الطيور على أشكالها تقع,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.","[""It means that appearing too humble can demean a person and make him vulnerable to humiliation."", ""This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well."", ""You’re trying to change something that you can’t.""]",False,S1,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.","This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",You’re trying to change something that you can’t.,It means that appearing too humble can demean a person and make him vulnerable to humiliation.,A
MID0441,Arabic,شو بتعمل الماشطه بهالوش العكر.,This proverb is used to describe an ugly woman who is not helped by beautification.,"[""This proverb urges being caution and think wisely before talking."", ""This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well."", ""This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.""]",False,S1,This proverb is used to describe an ugly woman who is not helped by beautification.,This proverb urges being caution and think wisely before talking.,"This proverb is effective psychological advice for those whose thinking is mortgaged to the past, which is a serious psychological illness because it harms sound thinking and paralyzes a person’s movement towards the future. Thinking makes a person become a prisoner of the past and its bitter memories, and makes him cry over the ruins of those who have passed away, but the tear that falls will not return, and this proverb spreads a spirit of optimism and a new start.","This proverb is widely used by the Ja'aliyin, Kawahla, Khawalda, and Arkaiyin in the Wad Madani region (according to the author), and the proverb is religiously, medically, scientifically, and logically rejected as well.",A
MID0412,Arabic,لي خاف سلم. ,That means don't involved in dangerous situations to stay safe.,"[""Prohibition may increase people's desire to obtain or experience the forbidden thing."", ""It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: \""Birds of one kind and colour always fly in one flock\"", the phrase was slightly different than it is today, but the main meaning is the same."", ""The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.""]",False,S1,Prohibition may increase people's desire to obtain or experience the forbidden thing.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.",That means don't involved in dangerous situations to stay safe.,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,C
MID0219,Arabic,البحر فيه لاغش,(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.,"[""The proverb refers to people who succeed through the efforts of others."", ""This proverb is used to describe a person who is ungrateful and betrays others."", ""The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.""]",False,S1,(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.,"The proverb means that happiness is contagious. If you live with a happy person, you will be happy. A happy person may not give you any of his money, but he may show you the path to happiness.",This proverb is used to describe a person who is ungrateful and betrays others.,The proverb refers to people who succeed through the efforts of others.,A
MID0523,Arabic,قرصه في ناره وعينه على جاره.,"This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.","[""This phrase is said to refer to the unlucky people."", ""It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation."", ""Every dog has its day.""]",False,S1,This phrase is said to refer to the unlucky people.,"This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.",Every dog has its day.,"It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation.",B
MID0614,Arabic,القُفه ام اضنين بشيلوها نفرين.,"It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation.","[""This proverb urges being caution and think wisely before talking."", ""The proverb refers to the change of conditions and bad replaces good."", ""The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.""]",False,S1,This proverb urges being caution and think wisely before talking.,The proverb means that the innocent person always bears the mistakes and consequences of what the guilty person does.,"It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation.",The proverb refers to the change of conditions and bad replaces good.,C
MID0159,Arabic,كلّه عند العرب صابون,People without taste can’t discern the quality of different things.,"[""Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb \""Meet me, but don't feed me.\"""", ""It is a popular proverb describes a woman who is as beautiful as the moonlight."", ""The proverb urges not to look back and regret what has passed.""]",False,S1,"Someone who gives you a little with love and a smile is better than someone who gives you a lot but without kindness. It is like the Egyptian proverb ""Meet me, but don't feed me.""",It is a popular proverb describes a woman who is as beautiful as the moonlight.,The proverb urges not to look back and regret what has passed.,People without taste can’t discern the quality of different things.,D
MID0755,Arabic,إنفخ يا شريم قال ماكو برطم ,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning.","[""It means that appearing too humble can demean a person and make him vulnerable to humiliation."", ""This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people."", ""You’re trying to change something that you can’t.""]",False,S1,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning.",It means that appearing too humble can demean a person and make him vulnerable to humiliation.,You’re trying to change something that you can’t.,"This proverb is used to urge people not to get into problems, quarrels, and matters that lead to disagreements and division, and to prevent the causes that raise conflicts and quarrels between people.",A
MID0605,Arabic,التسوي كريت تلقى في جلدها.,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.","[""A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well."", ""This proverb urges being caution and think wisely before talking."", ""The proverb refers to people who succeed through the efforts of others.""]",False,S1,This proverb urges being caution and think wisely before talking.,"A proverb used when a person needs something and this thing is with someone else he knows, so the other person refuses to give it to him. Therefore, the person in need reminds the other person that one day he will need something as well.",The proverb refers to people who succeed through the efforts of others.,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.",D
MID0023,Arabic,أحضر الناس جوابا من لم يغضب,The best answer will come from the person who is not angry.,"[""Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it."", ""People without taste can’t discern the quality of different things."", ""This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning. ""]",False,S1,The best answer will come from the person who is not angry.,Taking preventive measures and procedures to avoid problems or diseases is much better than waiting until the problem occurs and then trying to treat it.,People without taste can’t discern the quality of different things.,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning. ",A
MID0744,Arabic,كل من كان عالي وطى كل من كان سارح بالشياه هطى,"Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.","[""It is used to describe the disappearance of reservations and the absence of barriers between people."", ""It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities)"", ""This proverb is used to describe a person who is ungrateful and betrays others.""]",False,S1,It is used to compare two different places or two opposite things (Zarqa and Balqa are Jordanian cities),"Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.",This proverb is used to describe a person who is ungrateful and betrays others.,It is used to describe the disappearance of reservations and the absence of barriers between people.,B
YOR1674,Yoruba,"Ó ńṣe apá kúlú-kúlú bí ẹni ká gbé e jó, ó sì ńṣẹnu hàmù-hàmù bí èyí tí yó gbèéni mì.",Said of a person who mixes friendly gestures with threatening ones.,"[""A good deed that en tails hardly any cost is easily and cheerfully performed."", ""Nothing teaches caution like a mishap."", ""There should be no relationship more intimate than that between spouses.""]",False,S1,A good deed that en tails hardly any cost is easily and cheerfully performed.,There should be no relationship more intimate than that between spouses.,Said of a person who mixes friendly gestures with threatening ones.,Nothing teaches caution like a mishap.,C
YOR0494,Yoruba,Pẹ̀lẹ́-pẹ̀lẹ́ nijó àgbà; ara gbogbo ló di àkísà tán.,Elderly people should not overexert themselves.,"[""A person who lacks the means to provide properly for himself or herself must be resourceful at making do."", ""A disfigurement that afflicts one in the most conspicuous place will surely be laughed at."", ""No disease is greater than hyperactivity.""]",False,S1,A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,No disease is greater than hyperactivity.,Elderly people should not overexert themselves.,D
YOR1696,Yoruba,Olóòótọ́ ìlú nìkà ìlú.,Honesty seldom makes one popular.,"[""There is little one can do about a problem whose outcome is inevitable."", ""People who share the same trade or secrets understand one another."", ""No one is as great or knowledgeable as God.""]",False,S1,Honesty seldom makes one popular.,People who share the same trade or secrets understand one another.,No one is as great or knowledgeable as God.,There is little one can do about a problem whose outcome is inevitable.,A
YOR0519,Yoruba,A kì í duni lóyè ká fọ̀nà ilé-e Baálẹ̀ hanni.,"A person should be treated either as an adversary or as an ally, not as both.","[""One should learn from Agbe’s example and be prudent in doing favors."", ""One reaps the rewards of the good one sows."", ""Daring makes the man; caution unmakes the man.""]",False,S1,Daring makes the man; caution unmakes the man.,One should learn from Agbe’s example and be prudent in doing favors.,"A person should be treated either as an adversary or as an ally, not as both.",One reaps the rewards of the good one sows.,C
YOR2026,Yoruba,Ọbẹ̀ lọmú àgbà.,"Adults have their own nourishment, even if it differs from children’s.","[""The earthen idol has no mouth to speak; lies are lying to lies."", ""Nobody refuses an exertion that has a great reward at its conclusion."", ""One should learn from Agbe’s example and be prudent in doing favors.""]",False,S1,One should learn from Agbe’s example and be prudent in doing favors.,"Adults have their own nourishment, even if it differs from children’s.",Nobody refuses an exertion that has a great reward at its conclusion.,The earthen idol has no mouth to speak; lies are lying to lies.,B
YOR0382,Yoruba,Kó-tán-kó-tán lajá ńlá omi.,Said of people who attack good things with excessive greed.,"[""People who share the same trade or secrets understand one another."", ""Wickedness and kindness will be rewarded unfailingly."", ""The earthen idol has no mouth to speak; lies are lying to lies.""]",False,S1,People who share the same trade or secrets understand one another.,Said of people who attack good things with excessive greed.,The earthen idol has no mouth to speak; lies are lying to lies.,Wickedness and kindness will be rewarded unfailingly.,B
YOR0951,Yoruba,"Oore tí Agbé ṣe lọ́fà, ó dagbe",One should learn from Agbe’s example and be prudent in doing favors.,"[""Elderly people should not overexert themselves."", ""Said of people who attack good things with excessive greed."", ""Honesty seldom makes one popular.""]",False,S1,Elderly people should not overexert themselves.,One should learn from Agbe’s example and be prudent in doing favors.,Honesty seldom makes one popular.,Said of people who attack good things with excessive greed.,B
YOR3639,Yoruba,"Àkẹ̀hìnsí onígbé, bí ẹni tí ńkébòsí.",Seeing something from a disadvantageous perspective is likely to mislead.,"[""One seeks a quarrel when one laughs at others with whom one does not share a joking relationship."", ""Others feel hurt, just as we do."", ""The earthen idol has no mouth to speak; lies are lying to lies.""]",False,S1,The earthen idol has no mouth to speak; lies are lying to lies.,"Others feel hurt, just as we do.",One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,Seeing something from a disadvantageous perspective is likely to mislead.,D
YOR2260,Yoruba,"Igbó etílé òun ẹ̀gbin, àdàpọ̀ òwò òun ìyà; yàrá à-jùmọ̀ -gbé ìtalẹ̀ ni nínú.",All relationships entail irri tants and require some capacity for accom modation.,"[""Offer no braggart any opportunity to resume his bragging."", ""There is little one can do about a problem whose outcome is inevitable."", ""Both the person bluffing and the person calling the bluff are secretly apprehensive.""]",False,S1,All relationships entail irri tants and require some capacity for accom modation.,Both the person bluffing and the person calling the bluff are secretly apprehensive.,There is little one can do about a problem whose outcome is inevitable.,Offer no braggart any opportunity to resume his bragging.,A
YOR1287,Yoruba,Ìpẹ̀ta lọṣẹ àpọ́n.,A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,"[""There is little one can do about a problem whose outcome is inevitable."", ""Nothing teaches caution like a mishap."", ""Adults have their own nourishment, even if it differs from children’s.""]",False,S1,Nothing teaches caution like a mishap.,There is little one can do about a problem whose outcome is inevitable.,"Adults have their own nourishment, even if it differs from children’s.",A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,D
YOR2985,Yoruba,"Wón ní, ""Amúkùnún, ru mà wọ́ọ̀.’’ Ó ní ‘‘Ìsàlẹ̀ ló ti w wá.’’","In considering a prob lem, one must look at the root causes, not only the manifestations.","[""Others feel hurt, just as we do."", ""Both the person bluffing and the person calling the bluff are secretly apprehensive."", ""Nothing teaches caution like a mishap.""]",False,S1,Both the person bluffing and the person calling the bluff are secretly apprehensive.,"In considering a prob lem, one must look at the root causes, not only the manifestations.",Nothing teaches caution like a mishap.,"Others feel hurt, just as we do.",B
YOR3714,Yoruba,Ataepo àti araepo ló mọ ohun tí wọ́n fi ńnuwọ́,People who share the same trade or secrets understand one another.,"[""No one is as great or knowledgeable as God."", ""Those who hang together will not hang separately."", ""One should know one’s own pain threshold.""]",False,S1,One should know one’s own pain threshold.,People who share the same trade or secrets understand one another.,No one is as great or knowledgeable as God.,Those who hang together will not hang separately.,B
YOR1539,Yoruba,"A kì í ṣe ẹlẹ́jọ́ ní ""Ngbọ́""?",Do not expect impartial witnessing from an interested party.,"[""One should consider the possible consequences of one’s actions before acting."", ""If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant."", ""No disease is greater than hyperactivity.""]",False,S1,"If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant.",No disease is greater than hyperactivity.,One should consider the possible consequences of one’s actions before acting.,Do not expect impartial witnessing from an interested party.,D
YOR1170,Yoruba,‘‘Bí mo lè kú ma kú’’ lọmọkùrín fi ńlágbára; ‘‘Ng ò lè wáá kú’’ lọmọkùnrín fi ńlẹ.‘‘,Daring makes the man; caution unmakes the man.,"[""Nothing teaches caution like a mishap."", ""Seeing something from a disadvantageous perspective is likely to mislead."", ""One should discharge one’s obligations before indulging in extravagance.""]",False,S1,Nothing teaches caution like a mishap.,Seeing something from a disadvantageous perspective is likely to mislead.,Daring makes the man; caution unmakes the man.,One should discharge one’s obligations before indulging in extravagance.,C
YOR3947,Yoruba,"Ìgbẹ́kẹ̀lé èèyàn, asán ni.",One should be wary about trusting people.,"[""One should learn from Agbe’s example and be prudent in doing favors."", ""A person should be treated either as an adversary or as an ally, not as both."", ""Self-sufficiency is far better than fortunate opportunism.""]",False,S1,One should be wary about trusting people.,One should learn from Agbe’s example and be prudent in doing favors.,"A person should be treated either as an adversary or as an ally, not as both.",Self-sufficiency is far better than fortunate opportunism.,A
YOR2230,Yoruba,Aṣiwèrè èèyàn ní ńkọṣẹ́ àbọ̀ ọjà.,One should not refuse to do a favor that entails no hardship or inconvenience.,"[""It is pointless to be secretive about something everybody already knows about."", ""In considering a prob lem, one must look at the root causes, not only the manifestations."", ""No one is as great or knowledgeable as God.""]",False,S1,It is pointless to be secretive about something everybody already knows about.,No one is as great or knowledgeable as God.,One should not refuse to do a favor that entails no hardship or inconvenience.,"In considering a prob lem, one must look at the root causes, not only the manifestations.",C
YOR2290,Yoruba,Ọ̀ràn tó bá ṣe ojú ìlú ò fara sin.,It is pointless to be secretive about something everybody already knows about.,"[""Do not make gifts of commodities purchased for trade. "", ""No disease is greater than hyperactivity."", ""Nothing teaches caution like a mishap.""]",False,S1,It is pointless to be secretive about something everybody already knows about.,No disease is greater than hyperactivity.,Do not make gifts of commodities purchased for trade. ,Nothing teaches caution like a mishap.,A
YOR0743,Yoruba,"""Gbà sókè"" ni ""Gbà sọ́kọ̀""; ohun tó a bá sọ síwájú là ń bá.",One reaps the rewards of the good one sows.,"[""Elderly people should not overexert themselves."", ""Said of people who attack good things with excessive greed."", ""Grati tude is superfluous among close friends or relatives.""]",False,S1,Elderly people should not overexert themselves.,Said of people who attack good things with excessive greed.,One reaps the rewards of the good one sows.,Grati tude is superfluous among close friends or relatives.,C
YOR0015,Yoruba,A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.,One should discharge one’s obligations before indulging in extravagance.,"[""The best treatment for a recalcitrant person is to shun him or her."", ""Once one has served one’s purpose, one is soon forgotten."", ""A person should be treated either as an adversary or as an ally, not as both.""]",False,S1,"A person should be treated either as an adversary or as an ally, not as both.","Once one has served one’s purpose, one is soon forgotten.",The best treatment for a recalcitrant person is to shun him or her.,One should discharge one’s obligations before indulging in extravagance.,D
YOR1074,Yoruba,A kì í fi ojoojúmọ́ rí olè jà kó dà bí-i tọwọ́ ẹni.,Self-sufficiency is far better than fortunate opportunism.,"[""One may not disdain an old tool until one is able to replace it."", ""Offer no braggart any opportunity to resume his bragging."", ""There should be no relationship more intimate than that between spouses.""]",False,S1,Offer no braggart any opportunity to resume his bragging.,Self-sufficiency is far better than fortunate opportunism.,One may not disdain an old tool until one is able to replace it.,There should be no relationship more intimate than that between spouses.,B
YOR0996,Yoruba,"Ọkọ̀ ńjò, ọkọ̀ ńjò! Ìgbà tó bá rì, kò parí ná?",There is little one can do about a problem whose outcome is inevitable.,"[""One should learn from Agbe’s example and be prudent in doing favors."", ""A disfigurement that afflicts one in the most conspicuous place will surely be laughed at."", ""All relationships entail irri tants and require some capacity for accom modation.""]",False,S1,There is little one can do about a problem whose outcome is inevitable.,One should learn from Agbe’s example and be prudent in doing favors.,All relationships entail irri tants and require some capacity for accom modation.,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,A
YOR2981,Yoruba,Ta ní tó Ọlọ́run? Ẹdá tó mọ̀la ò sí.,No one is as great or knowledgeable as God.,"[""One should consider the possible consequences of one’s actions before acting."", ""Grati tude is superfluous among close friends or relatives."", ""If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant.""]",False,S1,Grati tude is superfluous among close friends or relatives.,"If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant.",One should consider the possible consequences of one’s actions before acting.,No one is as great or knowledgeable as God.,D
YOR0333,Yoruba,Ilé kì í jó kí baálé tàkakà.,One must not ignore matters of grave concern to oneself.,"[""One seeks a quarrel when one laughs at others with whom one does not share a joking relationship."", ""Do not squander treasure on those incapable of appreciating it."", ""Do not expect impartial witnessing from an interested party.""]",False,S1,One must not ignore matters of grave concern to oneself.,One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,Do not expect impartial witnessing from an interested party.,Do not squander treasure on those incapable of appreciating it.,A
YOR3729,Yoruba,"Àtidé onígbàjámọ̀ là ḿmọ̀, a kì í mọ àtilọ.","Once one has served one’s purpose, one is soon forgotten.","[""Adults have their own nourishment, even if it differs from children’s."", ""When a person loses control, his or her belongings become fair game."", ""No disease is greater than hyperactivity.""]",False,S1,"Once one has served one’s purpose, one is soon forgotten.","Adults have their own nourishment, even if it differs from children’s.","When a person loses control, his or her belongings become fair game.",No disease is greater than hyperactivity.,A
YOR2860,Yoruba,‘‘Lọ fún mi nílé yìí’’ kọ́ ni ‘‘Lọ fún mi níbòmíràn.’’,"If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant.","[""The earthen idol has no mouth to speak; lies are lying to lies."", ""There should be no relationship more intimate than that between spouses."", ""Seeing something from a disadvantageous perspective is likely to mislead.""]",False,S1,There should be no relationship more intimate than that between spouses.,Seeing something from a disadvantageous perspective is likely to mislead.,"If one is shut out of one opportunity, one can usually f ind another elsewhere.40 The following entry is a variant.",The earthen idol has no mouth to speak; lies are lying to lies.,C
YOR2804,Yoruba,"Gagalo-ó ṣubú, ọwọ́ tẹ apákó.","When a person loses control, his or her belongings become fair game.","[""Once one has served one’s purpose, one is soon forgotten."", ""No one is as great or knowledgeable as God."", ""Do not squander treasure on those incapable of appreciating it.""]",False,S1,"Once one has served one’s purpose, one is soon forgotten.",Do not squander treasure on those incapable of appreciating it.,"When a person loses control, his or her belongings become fair game.",No one is as great or knowledgeable as God.,C
YOR2336,Yoruba,A kì í dúpẹ́ ara ènì.,Grati tude is superfluous among close friends or relatives.,"[""One may not disdain an old tool until one is able to replace it."", ""No disease is greater than hyperactivity."", ""When a person loses control, his or her belongings become fair game.""]",False,S1,One may not disdain an old tool until one is able to replace it.,No disease is greater than hyperactivity.,"When a person loses control, his or her belongings become fair game.",Grati tude is superfluous among close friends or relatives.,D
YOR1756,Yoruba,"Bí ó ti ńdun ọmọ ẹyẹ, bẹ́ẹ̀ ló ńdun ọmọ èèyàn.","Others feel hurt, just as we do.","[""All relationships entail irri tants and require some capacity for accom modation."", ""Those who hang together will not hang separately."", ""No one is as great or knowledgeable as God.""]",False,S1,"Others feel hurt, just as we do.",All relationships entail irri tants and require some capacity for accom modation.,Those who hang together will not hang separately.,No one is as great or knowledgeable as God.,A
YOR3667,Yoruba,Amúniṣẹ̀sín ẹ̀tẹ̀ tí ńmúni lọ́gangan imú,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,"[""A person who lacks the means to provide properly for himself or herself must be resourceful at making do."", ""One may not disdain an old tool until one is able to replace it."", ""No disease is greater than hyperactivity.""]",False,S1,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,One may not disdain an old tool until one is able to replace it.,No disease is greater than hyperactivity.,A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,A
YOR3612,Yoruba,Adùn-únṣe bí àlejò omi.,A good deed that en tails hardly any cost is easily and cheerfully performed.,"[""In considering a prob lem, one must look at the root causes, not only the manifestations."", ""When a person loses control, his or her belongings become fair game."", ""The earthen idol has no mouth to speak; lies are lying to lies.""]",False,S1,A good deed that en tails hardly any cost is easily and cheerfully performed.,"In considering a prob lem, one must look at the root causes, not only the manifestations.",The earthen idol has no mouth to speak; lies are lying to lies.,"When a person loses control, his or her belongings become fair game.",A
YOR2716,Yoruba,"Bí a kò bá forí sọ, a kì í mọ ìrẹ̀-ẹ́ bẹ̀.",Nothing teaches caution like a mishap.,"[""No disease is greater than hyperactivity."", ""Nobody refuses an exertion that has a great reward at its conclusion."", ""Do not make gifts of commodities purchased for trade. ""]",False,S1,Do not make gifts of commodities purchased for trade. ,Nothing teaches caution like a mishap.,No disease is greater than hyperactivity.,Nobody refuses an exertion that has a great reward at its conclusion.,B
YOR2864,Yoruba,Mò ḿbọ̀! Máa bọ̀! Àwọn méjèèjì lẹ̀rù bá.,Both the person bluffing and the person calling the bluff are secretly apprehensive.,"[""Once one has served one’s purpose, one is soon forgotten."", ""No one is as great or knowledgeable as God."", ""There should be no relationship more intimate than that between spouses.""]",False,S1,There should be no relationship more intimate than that between spouses.,No one is as great or knowledgeable as God.,"Once one has served one’s purpose, one is soon forgotten.",Both the person bluffing and the person calling the bluff are secretly apprehensive.,D
YOR1468,Yoruba,"Ọjà tí a fowó rà, owó la fi ńpa.",Do not make gifts of commodities purchased for trade.,"[""One should know one’s own pain threshold."", ""The minor official should not impose on people more than the important officials do. "", ""Don’t hedge when discussing the obvious.""]",False,S1,Don’t hedge when discussing the obvious.,One should know one’s own pain threshold.,The minor official should not impose on people more than the important officials do. ,Do not make gifts of commodities purchased for trade.,D
