sample_id,language,source_proverb,gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,original_gold,gen_attempts,gen_info
YOR3612,Yoruba,Adùn-únṣe bí àlejò omi.,A good deed that en tails hardly any cost is easily and cheerfully performed.,"[""In considering a prob lem, one must look at the root causes, not only the manifestations."", ""When a person loses control, his or her belongings become fair game."", ""The earthen idol has no mouth to speak; lies are lying to lies.""]",False,S1,A good deed that en tails hardly any cost is easily and cheerfully performed.,"In considering a prob lem, one must look at the root causes, not only the manifestations.",The earthen idol has no mouth to speak; lies are lying to lies.,"When a person loses control, his or her belongings become fair game.",A,,,
YOR2716,Yoruba,"Bí a kò bá forí sọ, a kì í mọ ìrẹ̀-ẹ́ bẹ̀.",Nothing teaches caution like a mishap.,"[""No disease is greater than hyperactivity."", ""Nobody refuses an exertion that has a great reward at its conclusion."", ""Do not make gifts of commodities purchased for trade. ""]",False,S1,Do not make gifts of commodities purchased for trade. ,Nothing teaches caution like a mishap.,No disease is greater than hyperactivity.,Nobody refuses an exertion that has a great reward at its conclusion.,B,,,
YOR2864,Yoruba,Mò ḿbọ̀! Máa bọ̀! Àwọn méjèèjì lẹ̀rù bá.,Both the person bluffing and the person calling the bluff are secretly apprehensive.,"[""Once one has served one’s purpose, one is soon forgotten."", ""No one is as great or knowledgeable as God."", ""There should be no relationship more intimate than that between spouses.""]",False,S1,There should be no relationship more intimate than that between spouses.,No one is as great or knowledgeable as God.,"Once one has served one’s purpose, one is soon forgotten.",Both the person bluffing and the person calling the bluff are secretly apprehensive.,D,,,
YOR1468,Yoruba,"Ọjà tí a fowó rà, owó la fi ńpa.",Do not make gifts of commodities purchased for trade.,"[""One should know one’s own pain threshold."", ""The minor official should not impose on people more than the important officials do. "", ""Don’t hedge when discussing the obvious.""]",False,S1,Don’t hedge when discussing the obvious.,One should know one’s own pain threshold.,The minor official should not impose on people more than the important officials do. ,Do not make gifts of commodities purchased for trade.,D,,,
YOR0173,Yoruba,"Ara-àìbalẹ̀, olórí àrùn.",No disease is greater than hyperactivity.,"[""It is pointless to be secretive about something everybody already knows about."", ""Offer no braggart any opportunity to resume his bragging."", ""The best treatment for a recalcitrant person is to shun him or her.""]",False,S1,The best treatment for a recalcitrant person is to shun him or her.,No disease is greater than hyperactivity.,Offer no braggart any opportunity to resume his bragging.,It is pointless to be secretive about something everybody already knows about.,B,,,
YOR0423,Yoruba,"Ohun tó ṣeé faga là ńfaga sí; èwo ni, ‘‘Ìwòyí àná mo ti na ànaà mi fága-fàga’’? ",One should not cheerfully and boastfully embrace disgrace.,"[""The best treatment for a recalcitrant person is to shun him or her."", ""Nothing teaches caution like a mishap."", ""In considering a prob lem, one must look at the root causes, not only the manifestations.""]",False,S1,The best treatment for a recalcitrant person is to shun him or her.,Nothing teaches caution like a mishap.,One should not cheerfully and boastfully embrace disgrace.,"In considering a prob lem, one must look at the root causes, not only the manifestations.",C,,,
YOR3900,Yoruba,Ẹṣin kì í kọ eré àsárelé,Nobody refuses an exertion that has a great reward at its conclusion.,"[""Honesty seldom makes one popular."", ""One seeks a quarrel when one laughs at others with whom one does not share a joking relationship."", ""The minor official should not impose on people more than the important officials do. ""]",False,S1,Honesty seldom makes one popular.,One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,The minor official should not impose on people more than the important officials do. ,Nobody refuses an exertion that has a great reward at its conclusion.,D,,,
YOR3498,Yoruba,Ẹni tó mọ iyì-i wúrà là ńtà á fún.,Do not squander treasure on those incapable of appreciating it.,"[""A disfigurement that afflicts one in the most conspicuous place will surely be laughed at."", ""There is little one can do about a problem whose outcome is inevitable."", ""Grati tude is superfluous among close friends or relatives.""]",False,S1,There is little one can do about a problem whose outcome is inevitable.,Do not squander treasure on those incapable of appreciating it.,Grati tude is superfluous among close friends or relatives.,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,B,,,
YOR2511,Yoruba,"Ẹni tí ó ńríni là ńrín; èèyàn tí kò rín èèyàn,aògbọd rín in; ẹ̀rín di méjì a dìjà.",One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,"[""Grati tude is superfluous among close friends or relatives."", ""Do not make gifts of commodities purchased for trade. "", ""The earthen idol has no mouth to speak; lies are lying to lies.""]",False,S1,Grati tude is superfluous among close friends or relatives.,One seeks a quarrel when one laughs at others with whom one does not share a joking relationship.,Do not make gifts of commodities purchased for trade. ,The earthen idol has no mouth to speak; lies are lying to lies.,B,,,
YOR1777,Yoruba,"Kí á ṣá a ṣá a, kí á gbọ̀n ọ́n gbọ̀n ọ́n; ká fi oko eéran sílẹ̀ ló dá eéran lára.",The best treatment for a recalcitrant person is to shun him or her.,"[""Those who hang together will not hang separately."", ""All relationships entail irri tants and require some capacity for accom modation."", ""No disease is greater than hyperactivity.""]",False,S1,The best treatment for a recalcitrant person is to shun him or her.,No disease is greater than hyperactivity.,All relationships entail irri tants and require some capacity for accom modation.,Those who hang together will not hang separately.,A,,,
YOR0203,Yoruba,"Bí a kò bá dáṣọ lé aṣọ, a kì í pe ọ̀kan lákìísà.",One may not disdain an old tool until one is able to replace it.,"[""Wickedness and kindness will be rewarded unfailingly."", ""Nothing teaches caution like a mishap."", ""No disease is greater than hyperactivity.""]",False,S1,Nothing teaches caution like a mishap.,One may not disdain an old tool until one is able to replace it.,Wickedness and kindness will be rewarded unfailingly.,No disease is greater than hyperactivity.,B,,,
YOR1723,Yoruba,Ṣìgìdì ò l nu fọhùn; ir ńpur fúnr.,The earthen idol has no mouth to speak; lies are lying to lies.,"[""A good deed that en tails hardly any cost is easily and cheerfully performed."", ""One should not cheerfully and boastfully embrace disgrace."", ""No one is as great or knowledgeable as God.""]",False,S1,The earthen idol has no mouth to speak; lies are lying to lies.,A good deed that en tails hardly any cost is easily and cheerfully performed.,No one is as great or knowledgeable as God.,One should not cheerfully and boastfully embrace disgrace.,A,,,
YOR1566,Yoruba,Àjànàkú kúro ni ‘‘A rí ǹkan fìrí’’; bí a bá rérin ká wí.,Don’t hedge when discussing the obvious.,"[""One may not disdain an old tool until one is able to replace it."", ""Nothing teaches caution like a mishap."", ""Do not expect impartial witnessing from an interested party.""]",False,S1,Don’t hedge when discussing the obvious.,Nothing teaches caution like a mishap.,Do not expect impartial witnessing from an interested party.,One may not disdain an old tool until one is able to replace it.,A,,,
YOR0581,Yoruba,A kì í sọ pé abẹ Ọ̀yọ́ mú; nígbà náà ni yó sọ pé bẹ́ẹ̀ ni òun ò n ò tíì pọn.,Offer no braggart any opportunity to resume his bragging.,"[""One should be wary about trusting people."", ""Self-sufficiency is far better than fortunate opportunism."", ""One should discharge one’s obligations before indulging in extravagance.""]",False,S1,Offer no braggart any opportunity to resume his bragging.,One should discharge one’s obligations before indulging in extravagance.,Self-sufficiency is far better than fortunate opportunism.,One should be wary about trusting people.,A,,,
YOR1821,Yoruba,"Tìkà toore, ọ̀kan kì í gbé.",Wickedness and kindness will be rewarded unfailingly.,"[""There is little one can do about a problem whose outcome is inevitable."", ""Nothing teaches caution like a mishap."", ""One must not ignore matters of grave concern to oneself.""]",False,S1,One must not ignore matters of grave concern to oneself.,Wickedness and kindness will be rewarded unfailingly.,There is little one can do about a problem whose outcome is inevitable.,Nothing teaches caution like a mishap.,B,,,
YOR2193,Yoruba,Ọkọ ẹni lodì ẹni.,There should be no relationship more intimate than that between spouses.,"[""Do not squander treasure on those incapable of appreciating it."", ""Wickedness and kindness will be rewarded unfailingly."", ""One should not cheerfully and boastfully embrace disgrace.""]",False,S1,There should be no relationship more intimate than that between spouses.,Wickedness and kindness will be rewarded unfailingly.,Do not squander treasure on those incapable of appreciating it.,One should not cheerfully and boastfully embrace disgrace.,A,,,
YOR3385,Yoruba,"Ìlú là ḿbá ọba gbé, kí ìjòyè má t wá mọ́lẹ̀ pa.",The minor official should not impose on people more than the important officials do.,"[""A person who lacks the means to provide properly for himself or herself must be resourceful at making do."", ""One should discharge one’s obligations before indulging in extravagance."", ""Honesty seldom makes one popular.""]",False,S1,A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,The minor official should not impose on people more than the important officials do.,Honesty seldom makes one popular.,One should discharge one’s obligations before indulging in extravagance.,B,,,
YOR1906,Yoruba,Àìkọ́wọ́rìn ejò l m aráyé fi ńfàdá pa wọ́n.,Those who hang together will not hang separately.,"[""One must not ignore matters of grave concern to oneself."", ""A disfigurement that afflicts one in the most conspicuous place will surely be laughed at."", ""Don’t hedge when discussing the obvious.""]",False,S1,Those who hang together will not hang separately.,One must not ignore matters of grave concern to oneself.,Don’t hedge when discussing the obvious.,A disfigurement that afflicts one in the most conspicuous place will surely be laughed at.,A,,,
YOR0033,Yoruba,A kì í mọ́ egbò fúnra ẹni ká sunkún.,One should know one’s own pain threshold.,"[""Daring makes the man; caution unmakes the man."", ""Do not expect impartial witnessing from an interested party."", ""One should not cheerfully and boastfully embrace disgrace.""]",False,S1,One should know one’s own pain threshold.,Daring makes the man; caution unmakes the man.,One should not cheerfully and boastfully embrace disgrace.,Do not expect impartial witnessing from an interested party.,A,,,
YOR0071,Yoruba,Abùléra ọ̀fọ́n-ọ̀n: ó ní ọjọ́ tí ológbò-ó ti bí òun ò ìtí-ì dá a ní báríkà.,Never forget your vulnerabilities and limitations.,"[""All relationships entail irri tants and require some capacity for accom modation."", ""One should learn from Agbe’s example and be prudent in doing favors."", ""One may not disdain an old tool until one is able to replace it.""]",False,S1,One may not disdain an old tool until one is able to replace it.,One should learn from Agbe’s example and be prudent in doing favors.,Never forget your vulnerabilities and limitations.,All relationships entail irri tants and require some capacity for accom modation.,C,,,
YOR0639,Yoruba,"Ahún wọnú orù, ó ku àtiyọ.",One should consider the possible consequences of one’s actions before acting.,"[""Offer no braggart any opportunity to resume his bragging."", ""No disease is greater than hyperactivity."", ""One should be wary about trusting people.""]",False,S1,One should be wary about trusting people.,No disease is greater than hyperactivity.,One should consider the possible consequences of one’s actions before acting.,Offer no braggart any opportunity to resume his bragging.,C,,,
283,English,No man can serve two masters,A person cannot divide their loyalties or pursue two contradictory goals.,"[""It is impossible for two people to have the same goals."", ""Having more than one job leads to failure."", ""You must obey only one boss in life.""]",False,S2,You must obey only one boss in life.,A person cannot divide their loyalties or pursue two contradictory goals.,Having more than one job leads to failure.,It is impossible for two people to have the same goals.,B,A person cannot divide their loyalties or pursue two contradictory goals.,1.0,generated
292,English,Never test the depth of water with both feet,Always assess risk carefully before committing fully to something unknown.,"[""It is safer to take big risks without hesitation."", ""You should always commit fully to every opportunity without checking the risks."", ""Testing with both feet is the best way to ensure safety.""]",False,S2,It is safer to take big risks without hesitation.,Testing with both feet is the best way to ensure safety.,Always assess risk carefully before committing fully to something unknown.,You should always commit fully to every opportunity without checking the risks.,C,"If you’re testing the depth of water with both feet down, you risk being drowned if the water turns out to be deep. But if you test with one foot, you can pull away. The proverb means that before going whole hog into something unknown, assess the risk well.",1.0,generated
62,English,Count your chickens before they are hatched,Don't be hasty in evaluating one's assets.,"[""Always trust what you see with your own eyes."", ""It is wise to rely on predictions for future success."", ""You should prepare for failure before taking action.""]",False,S2,It is wise to rely on predictions for future success.,Always trust what you see with your own eyes.,You should prepare for failure before taking action.,Don't be hasty in evaluating one's assets.,D,Don't be hasty in evaluating one's assets.,1.0,generated
1099,English,"Translators, traitors",Translating a sentence perfectly from one language to another is technically impossible.,"[""Translators are often spies working for foreign governments."", ""Translation software will eventually replace all human translators."", ""Translating poetry is easier than translating legal documents.""]",False,S2,Translating poetry is easier than translating legal documents.,Translating a sentence perfectly from one language to another is technically impossible.,Translators are often spies working for foreign governments.,Translation software will eventually replace all human translators.,B,Translating a sentence perfectly from one language to another is technically impossible.,1.0,generated
ENG0096,English,Rain on someone's parade.,Spoil someone's plans,"[""Make someone feel better"", ""Give someone a surprise gift"", ""Praise someone publicly""]",False,S2,Spoil someone's plans,Make someone feel better,Give someone a surprise gift,Praise someone publicly,A,Spoil someone's plans.,1.0,generated
1223,English,Marriage makes or mars a man,Being married can either help or hinder you in your life.,"[""Marriage always improves a man's character."", ""Only married men can achieve success."", ""Marriage has no effect on a person's life.""]",False,S2,Being married can either help or hinder you in your life.,Only married men can achieve success.,Marriage always improves a man's character.,Marriage has no effect on a person's life.,A,Being married can either help or hinder you in your life.,1.0,generated
87,English,God tempers the wind to the shorn lamb.,Heaven is more kind to the weak,"[""God punishes the strong for their arrogance"", ""The wind always protects newborn animals"", ""Lambs are naturally protected by the weather""]",False,S2,God punishes the strong for their arrogance,The wind always protects newborn animals,Heaven is more kind to the weak,Lambs are naturally protected by the weather,C,Heaven is more kind to the weak.,1.0,generated
224,English,"If you can't beat 'em, join 'em",It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,"[""It means you should always try to fight back against challenges."", ""It suggests that giving up is the best solution when faced with competition."", ""It implies that you should avoid teamwork and work alone instead.""]",False,S2,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,It means you should always try to fight back against challenges.,It suggests that giving up is the best solution when faced with competition.,It implies that you should avoid teamwork and work alone instead.,A,It is sometimes necessary to surrender one’s pride and conform to another person’s or group’s way of doing things.,1.0,generated
785,English,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.","[""A small number of good choices is better than many bad ones."", ""Bad choices can improve if given the right conditions."", ""You should always choose the smallest option available.""]",False,S2,A small number of good choices is better than many bad ones.,You should always choose the smallest option available.,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",Bad choices can improve if given the right conditions.,C,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all.",1.0,generated
1238,English,"He is unworthy to live, who lives only for himself","It is important to think of the needs of others, not only your own.","[""Living only for yourself makes you the most successful."", ""Loving yourself is the worst thing you can do."", ""Helping others is only necessary when they ask for it.""]",False,S2,Helping others is only necessary when they ask for it.,"It is important to think of the needs of others, not only your own.",Loving yourself is the worst thing you can do.,Living only for yourself makes you the most successful.,B,"It is important to think of the needs of others, not only your own.",1.0,generated
786,English,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than through the time and energy wasted in their own failed experiences.,"[""Wise people do not make mistakes, while fools make many."", ""Learning from others is only for wise people, and fools cannot learn from anyone."", ""Everyone must make their own mistakes to truly understand anything.""]",False,S2,"Wise people do not make mistakes, while fools make many.",Wise people are observant so that they can learn by example rather than through the time and energy wasted in their own failed experiences.,Everyone must make their own mistakes to truly understand anything.,"Learning from others is only for wise people, and fools cannot learn from anyone.",B,Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.,1.0,generated
520,English,Love is without reason,You can’t explain why people fall in love with each other.,"[""Love only happens when there is no logical reason to dislike someone."", ""People should avoid using logic when choosing a partner."", ""Love is stronger than any argument or explanation.""]",False,S2,You can’t explain why people fall in love with each other.,People should avoid using logic when choosing a partner.,Love is stronger than any argument or explanation.,Love only happens when there is no logical reason to dislike someone.,A,You can’t explain why people fall in love with each other.,1.0,generated
778,English,Every law has a loophole,"If one tries hard enough, they can find their way around any law or rule.","[""Laws are unnecessary and should be ignored."", ""All laws are created with fairness and no exceptions."", ""Only important laws have exceptions""]",False,S2,Only important laws have exceptions,Laws are unnecessary and should be ignored.,"If one tries hard enough, they can find their way around any law or rule.",All laws are created with fairness and no exceptions.,C,"If one tries hard enough, they can find their way ar ound any law or rule.",1.0,generated
ENG0867,English,People who live in glass houses should not throw stones.,One should not criticize others for faults similar to one's own and risk retaliation.,"[""People who are poor at building things should avoid teaching others."", ""It is wise to hide one's weaknesses from others carefully."", ""Those who make mistakes should always be honest about them.""]",False,S2,It is wise to hide one's weaknesses from others carefully.,People who are poor at building things should avoid teaching others.,One should not criticize others for faults similar to one's own and risk retaliation.,Those who make mistakes should always be honest about them.,C,One should not criticize others for faults similar to one's own and risk retaliation.,1.0,generated
304,English,"While there is life, there is hope","As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.","[""Once you lose hope, life is no longer worth living."", ""Only those who have already achieved success can expect better things in the future."", ""Hope is only possible if you have a long life ahead of you.""]",False,S2,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",Hope is only possible if you have a long life ahead of you.,"Once you lose hope, life is no longer worth living.",Only those who have already achieved success can expect better things in the future.,A,"As long as you are alive, there is always hope of better times and better things to come, so don’t give up trying to improve your circumstances or make positive changes.",1.0,generated
878,English,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.,"[""Experts are always respected in their home country."", ""Prophets are only honored when they travel abroad."", ""People trust local leaders more than outsiders.""]",False,S2,Experts are always respected in their home country.,People are more likely to believe in a foreign expert than one from their own kin.,People trust local leaders more than outsiders.,Prophets are only honored when they travel abroad.,B,People are more likely to believe in a foreign expert than one from their own kin.,2.0,generated
1048,English,He who wills the end wills the means,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.","[""Only the outcome matters, not how it is achieved."", ""People who want an end result usually don't care about the process."", ""Goals are more important than the actions taken to achieve them.""]",False,S2,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",People who want an end result usually don't care about the process.,Goals are more important than the actions taken to achieve them.,"Only the outcome matters, not how it is achieved.",A,"If one is determined enough to reach their goal, they will make any sacrifices and take the necessary risks to do so.",1.0,generated
847,English,Be just before you are generous,Make sure your own debts are paid before lending to others.,"[""Give generously without expecting anything in return."", ""Help others before taking care of yourself."", ""Be kind to everyone, regardless of their actions.""]",False,S2,Make sure your own debts are paid before lending to others.,Help others before taking care of yourself.,Give generously without expecting anything in return.,"Be kind to everyone, regardless of their actions.",A,Make sure your own debts are paid before lending to others.,1.0,generated
32,English,Burning the midnight oil,To 'burn the midnight oil' is to work late into the night.,"[""To 'burn the midnight oil' means to waste time on unnecessary tasks."", ""To 'burn the midnight oil' means to celebrate an important event with a party."", ""To 'burn the midnight oil' means to sleep for extended hours during the night.""]",False,S2,To 'burn the midnight oil' means to celebrate an important event with a party.,To 'burn the midnight oil' means to sleep for extended hours during the night.,To 'burn the midnight oil' means to waste time on unnecessary tasks.,To 'burn the midnight oil' is to work late into the night.,D,"To 'burn the midnight oil' is to work late into the night. Originally this was by the light of an oil lamp or candle. More recently, the phrase is used figuratively, alluding back its use before electric lighting.",1.0,generated
ENG1507,English,When the cat's away the mice will play.,"Without supervision, people misbehave","[""People become more productive when leaders are absent"", ""Animals take over when humans are not watching"", ""Children behave better when parents are away""]",False,S2,"Without supervision, people misbehave",Children behave better when parents are away,People become more productive when leaders are absent,Animals take over when humans are not watching,A,"Without supervision, people misbehave.",1.0,generated
197,English,Fake it until you make it,One who imitates a desired quality with confidence will eventually realize that quality.,"[""Faking a quality will always lead to being discovered and losing trust."", ""Only pretending to have qualities is enough to achieve success without effort."", ""Imitating others will make you more authentic over time.""]",False,S2,Only pretending to have qualities is enough to achieve success without effort.,Imitating others will make you more authentic over time.,Faking a quality will always lead to being discovered and losing trust.,One who imitates a desired quality with confidence will eventually realize that quality.,D,One who imitat es a desired quality with confidence will eventually realize that quality.,1.0,generated
69,English,Power corrupts,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.","[""Having too much power makes people physically stronger and more dominant."", ""Power is only given to people who are already corrupt."", ""People who are corrupt naturally seek positions of power.""]",False,S2,Power is only given to people who are already corrupt.,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",Having too much power makes people physically stronger and more dominant.,People who are corrupt naturally seek positions of power.,B,"When people get authority and influence with less accountability, they tend to use that influence in their own interests.",1.0,generated
ENG0610,English,Don’t throw the baby out with the bathwater,Avoid discarding valuables,"[""Don't waste time on unimportant tasks"", ""Avoid making hasty decisions"", ""Don't trust people who have made mistakes""]",False,S2,Avoid discarding valuables,Don't trust people who have made mistakes,Avoid making hasty decisions,Don't waste time on unimportant tasks,A,Avoid discarding valuables.,1.0,generated
ENG0025,English,Fortune favors the brave.,"If you carry out your plans boldly, luck is more likely to favor you.","[""Only people who take risks will ever become rich."", ""Bravery guarantees success in all situations."", ""Fortune only rewards those who follow tradition.""]",False,S2,"If you carry out your plans boldly, luck is more likely to favor you.",Only people who take risks will ever become rich.,Bravery guarantees success in all situations.,Fortune only rewards those who follow tradition.,A,"If you carry out your plans boldly, luck is more likely to favor you.",1.0,generated
ENG0794,English,Never go to bed on an argument,Resolve disputes before sleeping.,"[""Ignore conflicts to avoid stress."", ""Arguments are more important than sleep."", ""Sleeping through arguments is beneficial.""]",False,S2,Arguments are more important than sleep.,Ignore conflicts to avoid stress.,Sleeping through arguments is beneficial.,Resolve disputes before sleeping.,D,Resolve disputes before sleeping.,1.0,generated
985,English,From the sublime to the ridiculous is but a step,Something beautiful or amazing can easily be followed by something mundane or foolish.,"[""A great idea will always lead to an even greater result."", ""Only foolish people can appreciate beautiful things."", ""Sublime and ridiculous are the same thing.""]",False,S2,Something beautiful or amazing can easily be followed by something mundane or foolish.,Only foolish people can appreciate beautiful things.,Sublime and ridiculous are the same thing.,A great idea will always lead to an even greater result.,A,Something beautiful or amazing can easily be followed by something mundane or foolish.,1.0,generated
ENG0097,English,Saved by the bell.,Rescued at the last moment.,"[""Taught a valuable lesson."", ""Caught in a mistake."", ""Warned in advance.""]",False,S2,Taught a valuable lesson.,Caught in a mistake.,Rescued at the last moment.,Warned in advance.,C,Rescued at the last moment.,1.0,generated
358,English,One swallow does not make a summer,A single sign does not mean that a major change has occurred.,"[""Having one success guarantees overall victory."", ""A single event is enough proof for a pattern."", ""One experience can define an entire season.""]",False,S2,One experience can define an entire season.,A single sign does not mean that a major change has occurred.,A single event is enough proof for a pattern.,Having one success guarantees overall victory.,B,A single sign does not mean that a major change has occurred.,1.0,generated
ENG0527,English,Accidents will happen,Mistakes or mishaps are inevitable.,"[""Accidents are caused by carelessness."", ""Only serious injuries are considered accidents."", ""Accidents only happen to certain people.""]",False,S2,Accidents are caused by carelessness.,Mistakes or mishaps are inevitable.,Accidents only happen to certain people.,Only serious injuries are considered accidents.,B,Mistakes or mishaps are inevitable.,1.0,generated
842,English,"If you're not paying, you're the product","If you're not paying, you're the product","[""Money can't buy happiness"", ""You get what you pay for"", ""The customer is always right""]",False,S2,Money can't buy happiness,You get what you pay for,"If you're not paying, you're the product",The customer is always right,C,Nothing is for free.,1.0,generated
ENG0372,English,Might is right.,Those with the most strength or power think they can do whatever they want.,"[""People who are physically strong are always morally correct."", ""Right actions are determined by how many people support them."", ""Only those who are the most intelligent can make the right decisions.""]",False,S2,Right actions are determined by how many people support them.,Only those who are the most intelligent can make the right decisions.,People who are physically strong are always morally correct.,Those with the most strength or power think they can do whatever they want.,D,Those with the most strength or power think they can do whatever they want.,1.0,generated
ENG0342,English,Liars need good memories.,People who do not tell the truth must be careful to remember what they say.,"[""Lying helps improve memory skills over time."", ""Telling the truth requires remembering many details."", ""Only people with bad memories tell lies.""]",False,S2,People who do not tell the truth must be careful to remember what they say.,Telling the truth requires remembering many details.,Only people with bad memories tell lies.,Lying helps improve memory skills over time.,A,People who do not tell the truth must be careful to remember what they say.,1.0,generated
1067,English,Love lives in cottages as well as in courts,All kinds of people fall in love regardless of their social or financial status.,"[""Love is only found in simple homes and not in fancy places."", ""People who live in cities cannot experience true love."", ""Love only exists in wealthy and powerful families.""]",False,S2,All kinds of people fall in love regardless of their social or financial status.,Love only exists in wealthy and powerful families.,Love is only found in simple homes and not in fancy places.,People who live in cities cannot experience true love.,A,All kinds of people fall in love regardless of their social or financial status.,1.0,generated
1160,English,Rather death than shame,Honor is more important than life itself.,"[""It is better to live in shame than to die."", ""Shame is preferable to death in certain situations."", ""Death is the greatest fear one can have.""]",False,S2,Shame is preferable to death in certain situations.,It is better to live in shame than to die.,Honor is more important than life itself.,Death is the greatest fear one can have.,C,Honor is more important than life itself.,1.0,generated
342,English,Everybody loves a winner,"Successful people tend to attract followers, while the less fortunate get left behind","[""People only care about winning in sports"", ""Everyone is naturally talented at something"", ""Winners are always happier than others""]",False,S2,Everyone is naturally talented at something,"Successful people tend to attract followers, while the less fortunate get left behind",Winners are always happier than others,People only care about winning in sports,B,"Successful people tend to attract followers, while the less fortunate get left behind .",1.0,generated
210,English,Speak softly and carry a big stick,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.","[""It means that one should always be loud and aggressive to avoid being taken advantage of."", ""It means that it's best to hide one's strength and never show any signs of power."", ""It means that words are more powerful than physical force and should always be used instead.""]",False,S2,It means that it's best to hide one's strength and never show any signs of power.,It means that words are more powerful than physical force and should always be used instead.,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",It means that one should always be loud and aggressive to avoid being taken advantage of.,C,"Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",1.0,generated
101,English,Forbidden fruit is the sweetest.,"When something is not allowed, we are more tempted to it.","[""People enjoy eating fruit that is illegal to grow."", ""Banned foods taste better than allowed ones."", ""Fruit that is hidden is usually of higher quality.""]",False,S2,"When something is not allowed, we are more tempted to it.",Banned foods taste better than allowed ones.,People enjoy eating fruit that is illegal to grow.,Fruit that is hidden is usually of higher quality.,A,"When something is not allowed, we are more tempted to it.",1.0,generated
1182,English,The gods send nuts to those who have no teeth,Good fortune sometimes comes to people who can no longer use it or enjoy it.,"[""People who work hard will always be rewarded by fate."", ""Those who are unprepared will still receive blessings from above."", ""Good things happen to those who are the most deserving.""]",False,S2,Good things happen to those who are the most deserving.,Those who are unprepared will still receive blessings from above.,People who work hard will always be rewarded by fate.,Good fortune sometimes comes to people who can no longer use it or enjoy it.,D,Good fortune sometimes comes to people who can no longer use it or enjoy it.,1.0,generated
168,English,You can have too much of a good thing,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,"[""Having a good thing means you will always have bad luck afterward."", ""Only bad things can be overused, good things can never be too much."", ""You should always avoid good things to prevent problems.""]",False,S2,"Only bad things can be overused, good things can never be too much.",Having a good thing means you will always have bad luck afterward.,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,You should always avoid good things to prevent problems.,C,Just because something is good and enjoyable doesn’t mean you should have it in unlimited quantities.,1.0,generated
432,English,Pity is akin to love.,"If you begin to feel sorry for someone, you may start to love them.","[""Feeling pity for someone will make them hate you."", ""Love cannot exist without pity."", ""Pity is stronger than love in all situations.""]",False,S2,"If you begin to feel sorry for someone, you may start to love them.",Love cannot exist without pity.,Feeling pity for someone will make them hate you.,Pity is stronger than love in all situations.,A,"If you begin to feel sorry for someone, you may start to love them.",1.0,generated
ENG0453,English,Stolen fruit is sweet,What is forbidden is the most tempting.,"[""Taking what is not yours always brings joy."", ""Things obtained quickly are the most satisfying."", ""Eating fruit you haven't paid for feels better.""]",False,S2,What is forbidden is the most tempting.,Things obtained quickly are the most satisfying.,Taking what is not yours always brings joy.,Eating fruit you haven't paid for feels better.,A,What is forbidden is the most tempting.,1.0,generated
237,English,The bane of my life,The agent of ruin or woe,"[""The source of my greatest joy"", ""A temporary annoyance in my day"", ""A symbol of my past achievements""]",False,S2,A symbol of my past achievements,The agent of ruin or woe,A temporary annoyance in my day,The source of my greatest joy,B,The agent of ruin or woe.,1.0,generated
976,English,Prosperity makes friends; adversity tries them,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.","[""Friends are only useful during good times and should be ignored during hard times."", ""Adversity is better than prosperity because it brings more genuine relationships."", ""Prosperity is the best way to test the strength of a friendship.""]",False,S2,Adversity is better than prosperity because it brings more genuine relationships.,Friends are only useful during good times and should be ignored during hard times.,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.",Prosperity is the best way to test the strength of a friendship.,C,"It is easy to make friends when life is comfortable, but when we face hard times, we find out who our true friends are.",1.0,generated
