sample_id,language,source_proverb,gold,original_gold,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer,gen_attempts,gen_info
MID0631,Arabic,مد رجليك قدر لحافك,"لا تتجاوز حدود طموحاتك عن قدراتك المالية والاجتماعية وغيرها. مثلاً، إذا أراد رجل فقير الارتباط بفتاة جميلة غنية، يقولون له: ""مد رجليك قدر لحافك"".","Always keep your ambitions within the limits of your financial and social status, and so on. For example, if a poor man wants to propose to a beautiful and wealthy girl, he is told, “Stretch your legs to the length of your blanket.”","[""الشخص يجب أن يعيش حسب دخله فقط، ولا يسافر كثيراً."", ""المرء يجب أن يختار شريك الحياة من نفس المستوى البدني."", ""لا ترتدي ملابس باهظة الثمن إذا لم تكن تمتلك المال الكافي.""]",False,S2,المرء يجب أن يختار شريك الحياة من نفس المستوى البدني.,لا ترتدي ملابس باهظة الثمن إذا لم تكن تمتلك المال الكافي.,الشخص يجب أن يعيش حسب دخله فقط، ولا يسافر كثيراً.,"لا تتجاوز حدود طموحاتك عن قدراتك المالية والاجتماعية وغيرها. مثلاً، إذا أراد رجل فقير الارتباط بفتاة جميلة غنية، يقولون له: ""مد رجليك قدر لحافك"".",D,1,generated
MID0024,Arabic,إنّ الطيور على أشكالها تقع,إنّ الطيور على أشكالها تقع تُعبّر عن مدى تشابه شخصين أو قربهما من بعضهما البعض في الأفكار أو الأفعال، وكيف أن لديهما توافقًا في الطبع.,"It is a popular and common proverb, used to express the extent to which two people are similar or close in their actions or way of thinking and their compatibility with each other. The phrase has been used in some form since the mid-16th century, and a version of this phrase appeared in 1545 in a satire by the writer William Turner, who used a sentence from this proverb in his satirical comedy, On the Gentle Catholic, and the Rescue of the Romish Fox, in which he said: ""Birds of one kind and colour always fly in one flock"", the phrase was slightly different than it is today, but the main meaning is the same.","[""إنّ الطيور على أشكالها تقع تُشير إلى أن كل شخص يُعامل بطريقة معينة بناءً على شكله أو مظهره الخارجي."", ""إنّ الطيور على أشكالها تقع تعني أن الطيور تختار شريكها بناءً على قربها الجغرافي وليس على شكلها."", ""إنّ الطيور على أشكالها تقع تدل على أن الطيور لا يمكنها التكيف مع أي تغيير في بيئتها.""]",False,S2,إنّ الطيور على أشكالها تقع تعني أن الطيور تختار شريكها بناءً على قربها الجغرافي وليس على شكلها.,إنّ الطيور على أشكالها تقع تدل على أن الطيور لا يمكنها التكيف مع أي تغيير في بيئتها.,إنّ الطيور على أشكالها تقع تُعبّر عن مدى تشابه شخصين أو قربهما من بعضهما البعض في الأفكار أو الأفعال، وكيف أن لديهما توافقًا في الطبع.,إنّ الطيور على أشكالها تقع تُشير إلى أن كل شخص يُعامل بطريقة معينة بناءً على شكله أو مظهره الخارجي.,C,1,generated
MID0441,Arabic,شو بتعمل الماشطه بهالوش العكر.,ما بتعمل الماشطة بهالوش العكر تصف امرأة قبيحة لا ينفعها التجميل.,This proverb is used to describe an ugly woman who is not helped by beautification.,"[""الماشطة تستخدم لتصف امرأة جميلة تهتم بذاتها."", ""هذا المثل يشير إلى امرأة عاقلة تهتم بجمالها."", ""يشير المثل إلى امرأة مخطئة في اختيارها للزوج.""]",False,S2,يشير المثل إلى امرأة مخطئة في اختيارها للزوج.,الماشطة تستخدم لتصف امرأة جميلة تهتم بذاتها.,ما بتعمل الماشطة بهالوش العكر تصف امرأة قبيحة لا ينفعها التجميل.,هذا المثل يشير إلى امرأة عاقلة تهتم بجمالها.,C,1,generated
MID0412,Arabic,لي خاف سلم.,المعنى الصحيح: لا تتورط في المواقف الخطرة للبقاء آمنًا.,That means don't involved in dangerous situations to stay safe.,"[""المعنى الخاطئ 1: خف من الله دائمًا."", ""المعنى الخاطئ 2: الصمت هو أفضل دفاع."", ""المعنى الخاطئ 3: من يخاف لا يُصاب.""]",False,S2,المعنى الخاطئ 2: الصمت هو أفضل دفاع.,المعنى الخاطئ 3: من يخاف لا يُصاب.,المعنى الخاطئ 1: خف من الله دائمًا.,المعنى الصحيح: لا تتورط في المواقف الخطرة للبقاء آمنًا.,D,1,generated
MID0219,Arabic,البحر فيه لاغش,يعني وجود حركة غير عادية في الموجة، تدل على حدوث فعل سيؤدي إلى كارثة مدمرة.,(لاغش: an unusual movement of the wave). It indicates the existence of an action that will lead to a devastating disaster.,"[""يعني البحر هادئ تمامًا ولا يوجد أي تغيير فيه."", ""يعني أن الموجات تتحرك بهدوء مما يدل على سلام تام."", ""يعني أن البحر مغلق ولا يمكن العبور منه.""]",False,S2,يعني وجود حركة غير عادية في الموجة، تدل على حدوث فعل سيؤدي إلى كارثة مدمرة.,يعني أن الموجات تتحرك بهدوء مما يدل على سلام تام.,يعني البحر هادئ تمامًا ولا يوجد أي تغيير فيه.,يعني أن البحر مغلق ولا يمكن العبور منه.,A,1,generated
MID0523,Arabic,قرصه في ناره وعينه على جاره.,يُشير هذا المثل إلى الشهوة التي قد تُصيب الإنسان، والتي تجعله يشتهي ما يملكه الآخرون، دون أن يرتاح لمعيشته الخاصة.,"This proverb refers to the greed that may affect a person, which makes him greed to have what others have, without being content with his own livelihood.","[""هذا المثل يدل على أن الإنسان يُفضل التضحية بنفسه من أجل مصلحة جاره."", ""يُقصد به أن الإنسان يُصاب بالغيرة على جاره أكثر من نفسه."", ""يُشير إلى أن الإنسان يُهتم أكثر بمساكن جيرانه من مسكنه الخاص.""]",False,S2,يُشير هذا المثل إلى الشهوة التي قد تُصيب الإنسان، والتي تجعله يشتهي ما يملكه الآخرون، دون أن يرتاح لمعيشته الخاصة.,هذا المثل يدل على أن الإنسان يُفضل التضحية بنفسه من أجل مصلحة جاره.,يُقصد به أن الإنسان يُصاب بالغيرة على جاره أكثر من نفسه.,يُشير إلى أن الإنسان يُهتم أكثر بمساكن جيرانه من مسكنه الخاص.,A,1,generated
MID0614,Arabic,القُفه ام اضنين بشيلوها نفرين.,يعني التضامن والتعاون والرحمة بين الناس. هناك مقولة مشابهة: «يد واحدة لا تصفق»، لكنها تحث على التعاون.,"It indicates cooperation, solidarity and compassion among people. There is a similar proverb: “One hand can’t clap”, which conveys the same meaning, although it is in the context of urging cooperation.","[""يدل على أن العمل الفردي أكثر كفاءة من العمل الجماعي."", ""يعني أن المساعدة المتبادلة تؤدي إلى النزاعات."", ""يشير إلى أن كل شخص يجب أن يتحمل مسؤوليته بمفرده.""]",False,S2,يدل على أن العمل الفردي أكثر كفاءة من العمل الجماعي.,يشير إلى أن كل شخص يجب أن يتحمل مسؤوليته بمفرده.,يعني أن المساعدة المتبادلة تؤدي إلى النزاعات.,يعني التضامن والتعاون والرحمة بين الناس. هناك مقولة مشابهة: «يد واحدة لا تصفق»، لكنها تحث على التعاون.,D,1,generated
MID0159,Arabic,كلّه عند العرب صابون,الناس بلا ذوق لا يستطيعون تمييز جودة الأشياء المختلفة,People without taste can’t discern the quality of different things.,"[""كل شيء عند العرب يُستخدم كصابون"", ""العرب يفضلون الصابون على غيره من المنتجات"", ""كل ما يُقدّم للعرب يُقبل عليه كالماء""]",False,S2,العرب يفضلون الصابون على غيره من المنتجات,كل شيء عند العرب يُستخدم كصابون,الناس بلا ذوق لا يستطيعون تمييز جودة الأشياء المختلفة,كل ما يُقدّم للعرب يُقبل عليه كالماء,C,1,generated
MID0755,Arabic,إنفخ يا شريم قال ماكو برطم,هذا المثل يُستخدم لوصف الشخص الذي لا يفهم ما تقوله أو تشرحه له، أي أنه لا يستطيع فهم المعنى بغض النظر عن جهودك في التوضيح.,"This proverb is used to describe someone who does not understand what you are saying or explaining to them. It means that no matter how much you try to clarify or explain, this person is unable to grasp your meaning.","[""هذا المثل يشير إلى شخص دائمًا يفهم الأمور بشكل خاطئ بغض النظر عن طريقة الشرح."", ""هذا المثل يدل على أن الشخص يتجاهل ما تقوله بوعي حتى لو توضحت الأمور له."", ""هذا المثل يُستخدم لوصف الشخص الذي يفهم الأمور بسرعة ويحتاج إلى شرح بسيط فقط.""]",False,S2,هذا المثل يُستخدم لوصف الشخص الذي يفهم الأمور بسرعة ويحتاج إلى شرح بسيط فقط.,هذا المثل يُستخدم لوصف الشخص الذي لا يفهم ما تقوله أو تشرحه له، أي أنه لا يستطيع فهم المعنى بغض النظر عن جهودك في التوضيح.,هذا المثل يدل على أن الشخص يتجاهل ما تقوله بوعي حتى لو توضحت الأمور له.,هذا المثل يشير إلى شخص دائمًا يفهم الأمور بشكل خاطئ بغض النظر عن طريقة الشرح.,B,1,generated
MID0605,Arabic,التسوي كريت تلقى في جلدها.,يُستخدم هذا المثل السوداني لوصف شخص يقوم بفعل شيء يعود عليه بال وباله، حتى بعد فترة. كان هناك رجل يملك قردة. كان لديه شجرة (قرد)، وهي شجرة زيتون تنمو بشكل طبيعي وتنتشر في مناطق مختلفة من السودان. كانت هذه شجرة قرد مزروعة في ساحة البيت. أكلت القردة كمية كبيرة من الزعفران من شجرة القرد وتعبت من أكلها، وانتفخت بطنها حتى اقتربت من الموت. قبل أن تموت، ذبحها صاحبها، وقشرها، وتم جلدها مع القرد حتى تصبح (فرو). يعني المثل أن القردة أحضرت الشر себе. لذلك، أصبحت عادة وبدأ الناس يستخدمون هذا المثل في مناسبات مختلفة لوصف الناس الذين يجلبون المشاكل على أنفسهم.,"This is a Sudanese proverb that is often used to describe someone who does something and it backfires on them, even after a while. There was a man who owned a goat. He had a (Qard) tree, which is a jujube tree that grows naturally and is widely spread in different regions of Sudan. This Qard tree was planted in the courtyard of the house. The goat ate a large amount of the saffron from the Qard tree and got tired from eating so much saffron, and its belly swelled until it was close to death. Before it died, its owner slaughtered it, skinned it, and tanned its hide with Qard so that it would become (fur). The proverb means that the goat brought evil upon itself. Therefore, it became a custom and people began to use this proverb and use it on different occasions to describe people who bring trouble upon themselves.","[""يُستخدم هذا المثل لوصف شخص يعطي الهدايا لمن يكرههم، فينتقم منه الشخص الآخر لاحقاً."", ""يُشير المثل إلى شخص يزرع شجرة القرد في حديقة منزله، لكن هذه الشجرة تؤدي إلى تدمير المنزل بمرور الوقت."", ""يُقصد بالمثل أن شخصاً يطعم قردته بكميات كبيرة من الطعام، فيكتسب الوزن ويمرض، مما يُجبر صاحبه على بيعه.""]",False,S2,يُستخدم هذا المثل السوداني لوصف شخص يقوم بفعل شيء يعود عليه بال وباله، حتى بعد فترة. كان هناك رجل يملك قردة. كان لديه شجرة (قرد)، وهي شجرة زيتون تنمو بشكل طبيعي وتنتشر في مناطق مختلفة من السودان. كانت هذه شجرة قرد مزروعة في ساحة البيت. أكلت القردة كمية كبيرة من الزعفران من شجرة القرد وتعبت من أكلها، وانتفخت بطنها حتى اقتربت من الموت. قبل أن تموت، ذبحها صاحبها، وقشرها، وتم جلدها مع القرد حتى تصبح (فرو). يعني المثل أن القردة أحضرت الشر себе. لذلك، أصبحت عادة وبدأ الناس يستخدمون هذا المثل في مناسبات مختلفة لوصف الناس الذين يجلبون المشاكل على أنفسهم.,يُستخدم هذا المثل لوصف شخص يعطي الهدايا لمن يكرههم، فينتقم منه الشخص الآخر لاحقاً.,يُشير المثل إلى شخص يزرع شجرة القرد في حديقة منزله، لكن هذه الشجرة تؤدي إلى تدمير المنزل بمرور الوقت.,يُقصد بالمثل أن شخصاً يطعم قردته بكميات كبيرة من الطعام، فيكتسب الوزن ويمرض، مما يُجبر صاحبه على بيعه.,A,2,generated
MID0023,Arabic,أحضر الناس جوابا من لم يغضب,الجواب الأفضل يأتي من الشخص الذي لا يغضب,The best answer will come from the person who is not angry.,"[""الغضب يجلب الحلول الأسرع"", ""من لا يغضب لا يعرف الحقيقة"", ""كلما غضب الإنسان كان أذكى""]",False,S2,الغضب يجلب الحلول الأسرع,من لا يغضب لا يعرف الحقيقة,الجواب الأفضل يأتي من الشخص الذي لا يغضب,كلما غضب الإنسان كان أذكى,C,1,generated
MID0744,Arabic,كل من كان عالي وطى كل من كان سارح بالشياه هطى,كل من كان عالي وطى كل من كان سارح بالشياه هطى,"Everyone who was arrogant became mean, and everyone who was carefree migrated to the city.","[""الأشخاص الأغنياء يساعدون المحتاجين بينما يهجر الفقراء المدينة"", ""من يرفع صوته يُغضب الناس، ومن يرعى الغنم يصبح غنياً"", ""كل من كان عالماً أصبح مشهوراً، ومن كان يرعى الغنم أصبح متعباً""]",False,S2,من يرفع صوته يُغضب الناس، ومن يرعى الغنم يصبح غنياً,الأشخاص الأغنياء يساعدون المحتاجين بينما يهجر الفقراء المدينة,كل من كان عالماً أصبح مشهوراً، ومن كان يرعى الغنم أصبح متعباً,كل من كان عالي وطى كل من كان سارح بالشياه هطى,D,1,generated
YOR1674,Yoruba,"Ó ńṣe apá kúlú-kúlú bí ẹni ká gbé e jó, ó sì ńṣẹnu hàmù-hàmù bí èyí tí yó gbèéni mì.",Said of a person who mixes friendly gestures with threatening ones.,Said of a person who mixes friendly gestures with threatening ones.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,A different interpretation of this proverb,Another possible meaning,Said of a person who mixes friendly gestures with threatening ones.,An alternative cultural reading,C,5,hard-fallback
YOR0494,Yoruba,Pẹ̀lẹ́-pẹ̀lẹ́ nijó àgbà; ara gbogbo ló di àkísà tán.,Ẹlẹ́rì ńkàrà kòkàrá kílódé,Elderly people should not overexert themselves.,"[""Ọmọ tó léyìn kílódé kò sílẹ̀ sí ẹlẹ́rì"", ""Ọlọ́gbọn kílódé kò sílẹ̀ sí àwọn ẹlẹ́rì"", ""Ọmọ kílódé kò ní ìfẹ̀ràn ẹlẹ́rì""]",False,S2,Ọmọ kílódé kò ní ìfẹ̀ràn ẹlẹ́rì,Ẹlẹ́rì ńkàrà kòkàrá kílódé,Ọlọ́gbọn kílódé kò sílẹ̀ sí àwọn ẹlẹ́rì,Ọmọ tó léyìn kílódé kò sílẹ̀ sí ẹlẹ́rì,B,1,generated
YOR1696,Yoruba,Olóòótọ́ ìlú nìkà ìlú.,Olóòtọ́ ìlú nìkà ìlú.,Honesty seldom makes one popular.,"[""Àwọn àṣẹ ìlú lèṣìn àwọn ìlú."", ""Ìlú lèṣìn ìlú nípa ìṣòro."", ""Olóòtọ́ ní ìlú kò lèṣìn ìlú""]",False,S2,Olóòtọ́ ìlú nìkà ìlú.,Ìlú lèṣìn ìlú nípa ìṣòro.,Àwọn àṣẹ ìlú lèṣìn àwọn ìlú.,Olóòtọ́ ní ìlú kò lèṣìn ìlú,A,1,generated
YOR0519,Yoruba,A kì í duni lóyè ká fọ̀nà ilé-e Baálẹ̀ hanni.,A kí í dúnì lóyè ká fọ̀nà ilé-e Baálẹ̀ hanni,"A person should be treated either as an adversary or as an ally, not as both.","[""Ní ìyàbo, ó kò ní ìyàní tí ó lé hàn bá wọn láti dára"", ""Ìwàlẹ́yìn kò sì máa lè wá lóye kí wọn kò sì lé wá lápá"", ""Ìṣẹ́ láti wà lóye kí ìṣẹ́ láti wà lápá kò ní ìṣòròlúwo""]",False,S2,"Ní ìyàbo, ó kò ní ìyàní tí ó lé hàn bá wọn láti dára",A kí í dúnì lóyè ká fọ̀nà ilé-e Baálẹ̀ hanni,Ìwàlẹ́yìn kò sì máa lè wá lóye kí wọn kò sì lé wá lápá,Ìṣẹ́ láti wà lóye kí ìṣẹ́ láti wà lápá kò ní ìṣòròlúwo,B,5,generated
YOR2026,Yoruba,Ọbẹ̀ lọmú àgbà.,Ọbẹ̀ lọmú àgbà,"Adults have their own nourishment, even if it differs from children’s.","[""Ẹni yẹn ló máa kúnwò sí èni tí ó kùn"", ""Ọmọ ení láti dàáwọn kí wọn kùn"", ""Ọbẹ̀ tí ó ní àgbà kí wọn kùn""]",False,S2,Ẹni yẹn ló máa kúnwò sí èni tí ó kùn,Ọbẹ̀ lọmú àgbà,Ọmọ ení láti dàáwọn kí wọn kùn,Ọbẹ̀ tí ó ní àgbà kí wọn kùn,B,2,generated
YOR0382,Yoruba,Kó-tán-kó-tán lajá ńlá omi.,Said of people who attack good things with excessive greed.,Said of people who attack good things with excessive greed.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,Said of people who attack good things with excessive greed.,A different interpretation of this proverb,Another possible meaning,An alternative cultural reading,A,5,hard-fallback
YOR0951,Yoruba,"Oore tí Agbé ṣe lọ́fà, ó dagbe",One should learn from Agbe’s example and be prudent in doing favors.,One should learn from Agbe’s example and be prudent in doing favors.,"[""A different interpretation of this proverb"", ""Another possible meaning"", ""An alternative cultural reading""]",True,S2,An alternative cultural reading,A different interpretation of this proverb,One should learn from Agbe’s example and be prudent in doing favors.,Another possible meaning,C,5,hard-fallback
YOR3639,Yoruba,"Àkẹ̀hìnsí onígbé, bí ẹni tí ńkébòsí.","Àkẹ̀hìnsí onígbé, bí ẹni tí ńkébòsí.",Seeing something from a disadvantageous perspective is likely to mislead.,"[""Ẹní tí ó ní ìyára ní ìṣẹ́ kó pa ẹní tí ó ní ìwòsì."", ""Ìbòro sílẹ̀ ń fi ìṣẹ́ kò sílẹ̀."", ""Ẹnìyàn tí ó wà ní ìwòsì kò le ṣe ìṣẹ́ kò sí.""]",False,S2,"Àkẹ̀hìnsí onígbé, bí ẹni tí ńkébòsí.",Ìbòro sílẹ̀ ń fi ìṣẹ́ kò sílẹ̀.,Ẹnìyàn tí ó wà ní ìwòsì kò le ṣe ìṣẹ́ kò sí.,Ẹní tí ó ní ìyára ní ìṣẹ́ kó pa ẹní tí ó ní ìwòsì.,A,1,generated
YOR2260,Yoruba,"Igbó etílé òun ẹ̀gbin, àdàpọ̀ òwò òun ìyà; yàrá à-jùmọ̀ -gbé ìtalẹ̀ ni nínú.","Ìgbó etílé òun ẹ̀gbin, àdàpọ̀ òwò òun ìyà; yàrá à-jùmọ̀ -gbé ìtalẹ̀ ni nínú.",All relationships entail irri tants and require some capacity for accom modation.,"[""Ìwà àwọn ẹlẹ́sìn kò yìí yóò ní ìyìn kí ìṣẹ̀ṣẹ̀ kò sí."", ""Ìwòsònlà kò ní ìyìn nípa ìṣẹ̀rèlè àwọn arákùnrin."", ""Ìgbékẹ́lẹ́ ìrìn kò ní ìyìn rírí àwọn ẹni kí wọ́n kò sí ìfásùsù ìṣòrò.""]",False,S2,Ìwòsònlà kò ní ìyìn nípa ìṣẹ̀rèlè àwọn arákùnrin.,"Ìgbó etílé òun ẹ̀gbin, àdàpọ̀ òwò òun ìyà; yàrá à-jùmọ̀ -gbé ìtalẹ̀ ni nínú.",Ìgbékẹ́lẹ́ ìrìn kò ní ìyìn rírí àwọn ẹni kí wọ́n kò sí ìfásùsù ìṣòrò.,Ìwà àwọn ẹlẹ́sìn kò yìí yóò ní ìyìn kí ìṣẹ̀ṣẹ̀ kò sí.,B,1,generated
YOR1287,Yoruba,Ìpẹ̀ta lọṣẹ àpọ́n.,Ìwòsòtò rẹ̀ lè máa ńkáàwà sí ẹ̀wọ́n kí ló máa bẹ̀rẹ̀ sí àwọn ìyẹn tí lè máa ní ìṣẹ́ kí ìyàmò rẹ̀ lè máa wàlẹ̀.,A person who lacks the means to provide properly for himself or herself must be resourceful at making do.,"[""Ẹ̀wọ́n tí lè ní ìṣẹ́ kí lè máa bẹ̀rẹ̀ sí àwọn ìyẹn tí lè máa ní ìṣẹ́."", ""Ẹ̀wọ́n tí lè máa ńkáàwà sí ẹ̀wọ́n kí lè máa wàlẹ̀ sí ìyàmò rẹ̀ nígbà tí ìyàmò rẹ̀ lè máa ní ìṣẹ́."", ""Ẹ̀wọ́n tí lè máa wàlẹ̀ sí ìyàmò rẹ̀ nígbà tí ìyàmò rẹ̀ lè máa ní ìṣẹ́ kí lè máa bẹ̀rẹ̀ sí àwọn ìyẹn tí lè máa ní ìṣẹ́.""]",False,S2,Ìwòsòtò rẹ̀ lè máa ńkáàwà sí ẹ̀wọ́n kí ló máa bẹ̀rẹ̀ sí àwọn ìyẹn tí lè máa ní ìṣẹ́ kí ìyàmò rẹ̀ lè máa wàlẹ̀.,Ẹ̀wọ́n tí lè ní ìṣẹ́ kí lè máa bẹ̀rẹ̀ sí àwọn ìyẹn tí lè máa ní ìṣẹ́.,Ẹ̀wọ́n tí lè máa wàlẹ̀ sí ìyàmò rẹ̀ nígbà tí ìyàmò rẹ̀ lè máa ní ìṣẹ́ kí lè máa bẹ̀rẹ̀ sí àwọn ìyẹn tí lè máa ní ìṣẹ́.,Ẹ̀wọ́n tí lè máa ńkáàwà sí ẹ̀wọ́n kí lè máa wàlẹ̀ sí ìyàmò rẹ̀ nígbà tí ìyàmò rẹ̀ lè máa ní ìṣẹ́.,A,3,generated
YOR2985,Yoruba,"Wón ní, ""Amúkùnún, ru mà wọ́ọ̀.’’ Ó ní ‘‘Ìsàlẹ̀ ló ti w wá.’’",Ìsàlẹ̀ ló ti w wá.,"In considering a prob lem, one must look at the root causes, not only the manifestations.","[""Kò ní iṣoro rẹ̀lẹ̀ yìí kí wò sí wọn arákùnrá."", ""Wọ́n fẹ́ láti kọ́rọ̀ wọn àwọn ẹ̀wọn."", ""Ìṣẹ́lẹ̀ kí kó wí wá kí kó wí wọn àwọn ẹ̀wọn.""]",False,S2,Ìṣẹ́lẹ̀ kí kó wí wá kí kó wí wọn àwọn ẹ̀wọn.,Wọ́n fẹ́ láti kọ́rọ̀ wọn àwọn ẹ̀wọn.,Kò ní iṣoro rẹ̀lẹ̀ yìí kí wò sí wọn arákùnrá.,Ìsàlẹ̀ ló ti w wá.,D,2,generated
YOR3714,Yoruba,Ataepo àti araepo ló mọ ohun tí wọ́n fi ńnuwọ́,Ataepo àti araepo ló mọ ohun tí wọ́n fi ńnuwọ́,People who share the same trade or secrets understand one another.,"[""Àwọn tí wọ́n lèyìn nípa ìlẹ̀ kan lè mọ̀ nípa ìṣòòrè kan"", ""Àwọn tí wọ́n fẹ́ ńṣọ́ wàlẹ́ kòṣe rí ìṣòòrè kan"", ""Àwọn tí wọ́n kò láti yìí lè mọ̀ nípa ìṣòòrè wọn""]",False,S2,Àwọn tí wọ́n fẹ́ ńṣọ́ wàlẹ́ kòṣe rí ìṣòòrè kan,Àwọn tí wọ́n kò láti yìí lè mọ̀ nípa ìṣòòrè wọn,Ataepo àti araepo ló mọ ohun tí wọ́n fi ńnuwọ́,Àwọn tí wọ́n lèyìn nípa ìlẹ̀ kan lè mọ̀ nípa ìṣòòrè kan,C,1,generated
YOR1539,Yoruba,"A kì í ṣe ẹlẹ́jọ́ ní ""Ngbọ́""?",Àìní padà lẹ́yìn pé àwọn ìkíló àárín kíkún kò ṣe ẹlẹ́jọ́ ní nǹkan wọn ti wọn sì jẹ́ kíkún ní,Do not expect impartial witnessing from an interested party.,"[""Ìbójúlè lẹ́yìn pé àwọn ìkíló kò ṣe ẹlẹ́jọ́ ní nǹkan wọn kíkún"", ""Ìyìnú lẹ́yìn pé ẹlẹ́jọ́ kò ṣe ẹlẹ́jọ́ ní nǹkan wọn kíkún"", ""Ìyìnú lẹ́yìn pé àwọn ìkíló kò ní ìwà ní nǹkan wọn kíkún""]",False,S2,Ìbójúlè lẹ́yìn pé àwọn ìkíló kò ṣe ẹlẹ́jọ́ ní nǹkan wọn kíkún,Ìyìnú lẹ́yìn pé àwọn ìkíló kò ní ìwà ní nǹkan wọn kíkún,Ìyìnú lẹ́yìn pé ẹlẹ́jọ́ kò ṣe ẹlẹ́jọ́ ní nǹkan wọn kíkún,Àìní padà lẹ́yìn pé àwọn ìkíló àárín kíkún kò ṣe ẹlẹ́jọ́ ní nǹkan wọn ti wọn sì jẹ́ kíkún ní,D,3,generated
YOR1170,Yoruba,‘‘Bí mo lè kú ma kú’’ lọmọkùrín fi ńlágbára; ‘‘Ng ò lè wáá kú’’ lọmọkùnrín fi ńlẹ.‘‘,Bí mo lè kú ma kú lọmọkùrín fi ńlágbára; Ng ò lè wáá kú lọmọkùnrín fi ńlẹ,Daring makes the man; caution unmakes the man.,"[""Àmọ̀ kú kílẹ̀ lágbára; àmọ̀ ò kú kílẹ̀ lẹ"", ""Ìyìn kú kílẹ̀ lágbára; ìyìn ò kú kílẹ̀ lẹ"", ""Ìṣẹ́ lágbára kílẹ̀ lágbára; ìṣẹ́ lẹ kílẹ̀ lẹ""]",False,S2,Ìyìn kú kílẹ̀ lágbára; ìyìn ò kú kílẹ̀ lẹ,Àmọ̀ kú kílẹ̀ lágbára; àmọ̀ ò kú kílẹ̀ lẹ,Ìṣẹ́ lágbára kílẹ̀ lágbára; ìṣẹ́ lẹ kílẹ̀ lẹ,Bí mo lè kú ma kú lọmọkùrín fi ńlágbára; Ng ò lè wáá kú lọmọkùnrín fi ńlẹ,D,2,generated
YOR3947,Yoruba,"Ìgbẹ́kẹ̀lé èèyàn, asán ni.","Ìgbẹ́kẹ̀lé èèyàn, asán ni.",One should be wary about trusting people.,"[""Ẹni o máa rí ẹnìyàn pé o lé ẹ̀wà."", ""Ẹ̀míràn ń bẹ̀rẹ̀ láìlọ́n ẹ̀wà rẹ̀."", ""Ẹnìyàn kò sí ìlẹ̀rùn rẹ̀ láti rí ìyìn rẹ̀.""]",False,S2,Ẹnìyàn kò sí ìlẹ̀rùn rẹ̀ láti rí ìyìn rẹ̀.,Ẹ̀míràn ń bẹ̀rẹ̀ láìlọ́n ẹ̀wà rẹ̀.,"Ìgbẹ́kẹ̀lé èèyàn, asán ni.",Ẹni o máa rí ẹnìyàn pé o lé ẹ̀wà.,C,1,generated
YOR2230,Yoruba,Aṣiwèrè èèyàn ní ńkọṣẹ́ àbọ̀ ọjà.,Aṣiwèrè èèyàn ní ńkọṣẹ́ àbọ̀ ọjà,One should not refuse to do a favor that entails no hardship or inconvenience.,"[""Ọ̀nà tó yàtò láì ní ńkàrí ìyìn rẹ̀ lọ́"", ""Ẹ̀mí ní láti tọ̀ná àwọn ọ̀nà kí ìṣẹ̀ yìí pèsè"", ""Ọ̀nà tó ní láti sọ̀rọ̀ pẹ̀lẹ̀ kí ìwà yìí kó wá""]",False,S2,Ọ̀nà tó yàtò láì ní ńkàrí ìyìn rẹ̀ lọ́,Ọ̀nà tó ní láti sọ̀rọ̀ pẹ̀lẹ̀ kí ìwà yìí kó wá,Ẹ̀mí ní láti tọ̀ná àwọn ọ̀nà kí ìṣẹ̀ yìí pèsè,Aṣiwèrè èèyàn ní ńkọṣẹ́ àbọ̀ ọjà,D,5,generated
YOR2290,Yoruba,Ọ̀ràn tó bá ṣe ojú ìlú ò fara sin.,Ọ̀ràn tó bá ṣe ojú ìlú ò fara sin.,It is pointless to be secretive about something everybody already knows about.,"[""Ẹ̀mí ló máa ń kírí sí íbí ẹ̀ṣẹ́ rẹ̀."", ""Ìwé ń kírí ìlú rẹ̀ láti sọ̀rọ̀ sí ìwà rẹ̀."", ""Ọ̀ràn tó bá ń fọwọ́ sí ìlú rẹ̀ kò lè ní ẹ̀ṣẹ́ rẹ̀.""]",False,S2,Ìwé ń kírí ìlú rẹ̀ láti sọ̀rọ̀ sí ìwà rẹ̀.,Ọ̀ràn tó bá ń fọwọ́ sí ìlú rẹ̀ kò lè ní ẹ̀ṣẹ́ rẹ̀.,Ọ̀ràn tó bá ṣe ojú ìlú ò fara sin.,Ẹ̀mí ló máa ń kírí sí íbí ẹ̀ṣẹ́ rẹ̀.,C,4,generated
