sample_id,language,source_proverb,proverb_en,correct_text,distractors,fallback,strategy,Choice_A,Choice_B,Choice_C,Choice_D,Answer
YOR0174,Yoruba,Àrífín ilé ó jọkà jẹ òròmọ adìẹ.,Fear of losing face within one’s home dis suades one from eating day-old chicks.,Fear of losing face within one’s home dis suades one from eating day-old chicks.,"['A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.', 'One inherits from one’s front, and one sets an example at one’s back.', 'A child who shits on the path brings down curses on its mother. B']",False,S1,A child who shits on the path brings down curses on its mother. B,Fear of losing face within one’s home dis suades one from eating day-old chicks.,A home one is able to enter only after one has slapped someone in the ears: sooner or later one will have to slap someone in the ears in order to get out of it.,"One inherits from one’s front, and one sets an example at one’s back.",B
YOR3670,Yoruba,"Àparò, aṣọ-ọ̀ rẹ́ ṣe pọ́n báyìí? O ní ìgbà wo ni aṣọ òun ò níí pọ́n?  Ọ̀sán jíjẹ, òru sísùn, oúnjẹ̀ ò ṣéé fi sílẹ̀ lọ́sàn-án; orun ò ṣéé fi sílẹ̀ lóru.","Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.","Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.","['Anger [is the] father of hopelessness.', 'No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.', 'If we do not meet up on high, we will meet down below.']",False,S1,No sash compares with the red sash; no hill compares with Gbadi Hill; no breast milk is as delicious as one’s mother’s breast milk.,"If we do not meet up on high, we will meet down below.","Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.",Anger [is the] father of hopelessness.,C
YOR3579,Yoruba,"A kì í dé ilé ikú ká fóhórí kù; bí a ò bá tútù, a ó bàá gbígbẹ.","One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.","One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.","['The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.', 'If one cannot throw a Nupe man in a wrestling match, he should not throw one.', 'The filthy person destroys the appeal of a style of clothing.']",False,S1,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"If one cannot throw a Nupe man in a wrestling match, he should not throw one.",The filthy person destroys the appeal of a style of clothing.,"One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.",D
YOR1139,Yoruba,Apárí ní ńfojú di abẹ.,It is a bald person who may be disdainful of the razor.,It is a bald person who may be disdainful of the razor.,"['One does not carry debt around one’s neck and live like a dandy.', 'A father is a protector; a mother is a helper; a co-wife is death.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.']",False,S1,It is a bald person who may be disdainful of the razor.,One does not carry debt around one’s neck and live like a dandy.,A father is a protector; a mother is a helper; a co-wife is death.,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",A
YOR3887,Yoruba,"Ẹni tí yó kọ igba lóko, ìrìn ẹsẹ́-ẹ rẹ̀ là ńwò.",The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,"['The stew having cooled, one hollows one’s palm to eat it.', 'If we do not meet up on high, we will meet down below.', 'The boat is leaking, the boat is leaking! After it sinks, won’t matters end?']",False,S1,"The boat is leaking, the boat is leaking! After it sinks, won’t matters end?",The person who vows to make two hundred heaps on the farm: one should pay attention to how he walks.,"The stew having cooled, one hollows one’s palm to eat it.","If we do not meet up on high, we will meet down below.",B
YOR1776,Yoruba,Ìyàwó jẹ ọkà jẹ igbá.,The wife ate the yam-flour meal and ate the calabash with it.,The wife ate the yam-flour meal and ate the calabash with it.,"['""This matter does not hurt me"": stating it only once suffices.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.', 'One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.']",False,S1,"The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.","One does not get to Death’s home and fail to find heads; if one does not find fresh ones, one will find dry ones.",The wife ate the yam-flour meal and ate the calabash with it.,"""This matter does not hurt me"": stating it only once suffices.",C
YOR0204,Yoruba,"Bí a kò bá lè dá Tápà, Tápà kì í dáni.","If one cannot throw a Nupe man in a wrestling match, he should not throw one.","If one cannot throw a Nupe man in a wrestling match, he should not throw one.","['It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.', 'One does not carry debt around one’s neck and live like a dandy.', 'It is with both its eyes and its feathers that the partridge sees.']",False,S1,It is only because one loves spinach that one calls it a friend of corn loaf; what the dandy has at home is enough food for him or her.,One does not carry debt around one’s neck and live like a dandy.,It is with both its eyes and its feathers that the partridge sees.,"If one cannot throw a Nupe man in a wrestling match, he should not throw one.",D
YOR2401,Yoruba,"Bí a kò bá pàdé lókè, a ó pàdé lódò.","If we do not meet up on high, we will meet down below.","If we do not meet up on high, we will meet down below.","['One should first chase the jackal away before reprimanding the chicken.', 'The sheep does not change its clothing from year to year.', 'Water is the first thing one’s foot encounters before it encounters the sand.']",False,S1,"If we do not meet up on high, we will meet down below.",One should first chase the jackal away before reprimanding the chicken.,The sheep does not change its clothing from year to year.,Water is the first thing one’s foot encounters before it encounters the sand.,A
YOR1873,Yoruba,Olè kì í gbọ́ orúkọ ẹ̀ kó dúró.,A thief does not hear his name and stand in place.,A thief does not hear his name and stand in place.,"['Water is the first thing one’s foot encounters before it encounters the sand.', 'The boat is leaking, the boat is leaking! After it sinks, won’t matters end?', 'What does a bald man want in the stall of the barber?']",False,S1,What does a bald man want in the stall of the barber?,A thief does not hear his name and stand in place.,Water is the first thing one’s foot encounters before it encounters the sand.,"The boat is leaking, the boat is leaking! After it sinks, won’t matters end?",B
YOR0996,Yoruba,"Ọkọ̀ ńjò, ọkọ̀ ńjò! Ìgbà tó bá rì, kò parí ná?","The boat is leaking, the boat is leaking! After it sinks, won’t matters end?","The boat is leaking, the boat is leaking! After it sinks, won’t matters end?","['It is the person who is revered that will disgrace himself or herself.', 'If the snare does not kill the rat, it returns the kernel bait to the owner.', 'It is a bald person who may be disdainful of the razor.']",False,S1,"If the snare does not kill the rat, it returns the kernel bait to the owner.",It is a bald person who may be disdainful of the razor.,"The boat is leaking, the boat is leaking! After it sinks, won’t matters end?",It is the person who is revered that will disgrace himself or herself.,C
YOR1495,Yoruba,Ọmọ tó káwọ́ sókè ló fẹ́ ká gbé òun.,It is the child who raises its arms that induces people to lift it.,It is the child who raises its arms that induces people to lift it.,"['One does not carry debt around one’s neck and live like a dandy.', 'Anger [is the] father of hopelessness.', 'The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.']",False,S1,One does not carry debt around one’s neck and live like a dandy.,Anger [is the] father of hopelessness.,"The lump that attacks the head is shamed, the boil is shamed, and the hardened tissue on the buttocks is shamed also.",It is the child who raises its arms that induces people to lift it.,D
YOR2834,Yoruba,"Ìyà mẹ́ta a-fàdá-pa-ikún: ikún lọ, àdá nù, aládàá ní òun ó gba àdá òun.","Three misfortunes that befell the person who would kill a squirrel with a cutlass: the squirrel escaped, the cutlass was lost, and the owner of the cutlass demanded its return.","Three misfortunes that befell the person who would kill a squirrel with a cutlass: the squirrel escaped, the cutlass was lost, and the owner of the cutlass demanded its return.","['It is with both its eyes and its feathers that the partridge sees.', 'The younger person does not give the older person history lectures.', 'He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.']",False,S1,"Three misfortunes that befell the person who would kill a squirrel with a cutlass: the squirrel escaped, the cutlass was lost, and the owner of the cutlass demanded its return.",It is with both its eyes and its feathers that the partridge sees.,The younger person does not give the older person history lectures.,"He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.",A
YOR2677,Yoruba,Àgùntàn ò pa aṣọ èṣí dà.,The sheep does not change its clothing from year to year.,The sheep does not change its clothing from year to year.,"['A father is a protector; a mother is a helper; a co-wife is death.', 'The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.', 'It is the person who is revered that will disgrace himself or herself.']",False,S1,It is the person who is revered that will disgrace himself or herself.,The sheep does not change its clothing from year to year.,A father is a protector; a mother is a helper; a co-wife is death.,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,B
YOR0827,Yoruba,Kí á lé akátá jìnnà ká tó bá adìẹ wí.,One should first chase the jackal away before reprimanding the chicken.,One should first chase the jackal away before reprimanding the chicken.,"['One inherits from one’s front, and one sets an example at one’s back.', 'It is the child who raises its arms that induces people to lift it.', 'Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief. ']",False,S1,It is the child who raises its arms that induces people to lift it.,Both the Ẹ̀gbá and the Ẹ̀sà people know that Láfì is like the chameleon; the whole world knows Tẹlmú as a thief.,One should first chase the jackal away before reprimanding the chicken.,"One inherits from one’s front, and one sets an example at one’s back.",C
YOR0033,Yoruba,A kì í mọ́ egbò fúnra ẹni ká sunkún.,One does not treat one’s own sore and yet cry from the pain.,One does not treat one’s own sore and yet cry from the pain.,"['Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.', 'The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.', 'A child who shits on the path brings down curses on its mother. B']",False,S1,"Partridge, how come your dress is so red [dirty]? He said, how would his dress not be red [dirty]? In the afternoon grubbing for food, at night sleeping: one cannot leave off food in the afternoon, and one cannot leave off sleep at night.","The forest knows no fear, and neither does the river know fear; the grindstone never shows fear in the face of pepper.",A child who shits on the path brings down curses on its mother. B,One does not treat one’s own sore and yet cry from the pain.,D
YOR0072,Yoruba,Àbúrò kì í pa ẹ̀gbọ́n nítàn.,The younger person does not give the older person history lectures.,The younger person does not give the older person history lectures.,"['The stew having cooled, one hollows one’s palm to eat it.', 'He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.', 'The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.']",False,S1,The younger person does not give the older person history lectures.,"The stew having cooled, one hollows one’s palm to eat it.","He-who-hurries-after-riches is on his way to battle; He-who-has-in-abundance is off on his travels; By-and-by-‘‘I-will-be-rich’’ is back in his hut, eating roasted yams.","The moon does not know which yard be longs to a poor man; if it reaches a wealthy man’s abode, it will reach mine also.",A
YOR4139,Yoruba,Òjò pa gbòdògì ró wọ̀rọ̀-wọ̀rọ̀,"The rain pounds the gbòdògì, producing a loud noise.","The rain pounds the gbòdògì, producing a loud noise.","['If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.', 'It is what one wishes to keep a secret that one does in private.', 'The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.']",False,S1,The person being lent a hand does not malinger; one whom Providence favors is not easily disgraced.,"The rain pounds the gbòdògì, producing a loud noise.","If one lacks money, one should have people; if one lacks people, one should be pleasant in one’s speech.",It is what one wishes to keep a secret that one does in private.,B
