Sample_ID,Proverb,Correct_Meaning
557,Politics makes strange bedfello ws,"People or groups with different ideologies, and who would normally disagree with each other, will work together when they share a common goal."
558,"Be content with your lot, one cannot be first in everything","Instead of longing for the things they don’t have, one should be grateful for the things they do have."
559,"Talk of the devil, and he is sure to appear",Someone h as appeared right after they were mentioned in conversation.
560,"After us, the deluge",This is said by the reckless speaker who doesn’t care what happens after his time has passed.
561,Give a thief enough rope and he’ll hang himself,A wrongdoer will work for their own demise if they feel they are not being watch ed.
562,You cannot make a crab walk straight,You can’t change the inherent nature of a person (or thing).
563,Hide not your light under a bushel,Do not keep your talents and positive qualities to yourself; share them with the world.
564,A tale never loses in the telling,People tend to exaggerate when telling a story.
565,Money opens all doors,Wealth gives you access to anywhere.
566,Little strokes fell great oaks,"With patience and endurance, small actions can have large effects."
567,Everyone to his taste,Every person is entitled to their own likes and dislikes.
568,Never let the sun go down on your anger,Resolve conflicts be fore you go to sleep.
569,What's everybody's business is nobody's business,A task that is not assigned or delegated to any particular person will not receive attention from anyone.
570,Patience is the best remedy,Some inconvenien t situations are beyond our control and will only get better with time.
571,"Feed a cold, starve a fever","When experiencing a cold, one should eat warm foods to generate heat in the body."
572,Nature does nothing in vain,Everything in nature has a role to play.
573,The tongue ever turns to the aching too th,People tend to return to the same worries and complaints that occupy their minds.
574,A door must be either shut or open,Be decisive when making a choice that is simply black and white.
575,God made the country and man made the town,The beauty and grandeur of nature far exceeds that of any man -made object.
577,Don’t cross a bridge till you come to it,"Don’t worry abo ut a problem before the appropriate time; instead, focus on more pressing matters."
578,The hand that rocks the cradle rules the world,"World events are formed by individual people, and a person’s character is formed from childhood."
579,What is a workman without his tools,"Ideas, knowledge, and experience are not enough; w e need the means to accomplish our goals."
580,Every cock crows on his own dunghill,Confidence comes easy in a person’s own territory where his alleged courage is not likely to be tested.
581,Through obedience learn to command,One cannot be a good leader if they are not a good follower first.
582,All’s fish that comes to the net,Skilled people are able to use anything available to their advantage.
583,Cut your coat according to your cloth,Don’t try to undertake more than your ability allows; accept your own limitations.
584,Friendship is a plant which must be often watered,A close bond must be cultivated in order to survive.
585,Every Jack must have his Jill,"Every person, no matter how handsome or ugly, rich or poor, will eventually find a romantic partner."
586,Everybody’s business is nobody’s business,Proper delegation of responsibility is imperative in a group setting.
587,What’s done cannot be undone,There’s no point in lamenting or bemoan ing something that has already happened.
588,You cannot sell the cow and drink the milk,You can’t enjoy both the utility of a thing and earn money from selling or renting it as well.
589,Many a little makes a mickle,"If you save a little bit often enough, it will accumulate into a considerable amount of money, so don’t underestimate the small savings you make."
590,"Least said, soonest men ded",You can resolve a dispute more quickly if you stop talking about the problem.
591,Like will to like,"People tend to associate with others who share similar characteristics, and in nature it is common to find similar materials grouped together."
592,Truth is the first casualty of war,"In order to justify war or other controversial measures, a government or leader will often lie about the situation in order to convince the people."
593,"He laughs best, who laughs last","Although the winner of a competition might appear obvious early on, it is the eventual winner who takes the prize."
594,First catch your hare,Make sure you actually have an object in your possession before making plans for it.
595,"Success has many fathers, but failure is an orphan","Many people will claim credit for so mething that goes well, but no one wants to take responsibility for something that fails."
596,The fairest rose is at last withered,Beauty does not last.
597,"If you 're not part of the solution, you're part of the problem",Passive inactivity is no better than outright troublemaking.
598,The crow thinks her own birds fairest,A person thinks their own spouse and/or children are superior in some way to everyone else’s.
599,Every man has his faults,Even those who appear flawless have faults of their own; nobody is perfect.
600,Man cannot live by bread alone,People require more than the bare necessities of life.
601,"If you play with fire, you get burnt",You will suffer the consequences if you partake in risky behavior.
602,Don’t count your chickens before they are hatched,Don’t plan ahead for something that may not actually happen.
603,Whom the gods love die young,Virtuous and uniq uely gifted people often die young.
604,A burnt child dreads the fire,Those who have experienced trauma from a mistake are less likely to repeat it.
606,The laborer is worthy of his hire,A person deserves to be paid for the work they do.
607,"Fields have eyes, and woods have ears",Be careful; someone might be listening in on your conversation when you least expect it.
608,One law for the rich and another for the poor,A corrupt justice system will be more lenient on people with wealth and harsher for people without money.
609,It takes two to make a bargain,In any venture involving two people there must be compromise and mutual res pect.
611,Money has no smell,People will accept money even if it comes from unethical deeds.
614,Footprints on the sands of time are not made by sitting down,One must work hard if one wants to leave behind a great legacy; sitting idle will accomplish nothing.
615,No man is infallible,Every person can have a weakness or make a mistake.
616,Ill news travels fast,People are more interested in bad news than good news.
617,Example is better than precept,The best leaders lead by example.
618,The wish is father to the thought,We tend to believe what we want to believe.
619,Distance lends enchantment to the view,Things often look better from far away.
620,"Eat, drink, and be merry, for tomorrow we die",Enjoy the pleasures of the present moment as you never know what could happen tomorrow.
621,If “ifs” and “ans” were pots and pans,"One should not be too wishful; instead, one should accept the reality of a si tuation."
622,"Nothing seek, nothing find","If you don’t have a goal in life and if you are not actively looking for ways to realize it, time will pass, and you wi ll have achieved nothing."
623,"A dog is for life, not just for Christmas",Don’t underestimate something with long -lasting potential.
624,Everything comes to him who waits,One’s patience is often rewarded in due time.
625,Misfortunes never come singly,Unlucky events seem to happen in multiples.
626,Learn wisdom by the follies of others,"When someone makes a foolish mi stake, you should learn from it and avoid making the same mistake yourself."
627,"When in doubt, do without","If you’re not sure you need something, the more sensible thing is to go without it."
628,Every man is the architect of his own fortune,Your life is in your hands.
629,For want of a nail the shoe was lost,A seemingly trivial detail may cause grave problems in the future.
630,No sweet without sweat,You have to work hard to achieve your goal.
631,Money is a good servant but a bad master,"You can use money to accomplish goals, but do not let the desire for money control your life."
632,No effect without a cause,The law of causation says that everything happening in nature is produced by some cause.
633,There’s no fool like an old fool,"The most embarrassing mistake is the one coming from an older person, since older people are expected to be wiser."
634,"You pays your money, and you takes your choice","Make your d ecision, take responsibility for it, and accept the outcome of your choice."
635,Every difficulty slurred over will be a ghost to disturb your repose later on,"If you don’t handle a problem appropriately now, it will grow and cause you much trouble later on."
636,"No foot, no horse",A horse has no value unless it has he althy hooves.
637,There is no accou nting for tastes,People’s tastes and personal opinions defy logic and expectation.
638,"If the blind lead the blind, both shall fall into the ditch",A person who leads or instruc ts others needs to know what they are doing.
639,Men are not angels,People’s egos and self -interest can lead them to behave immorally when the opportunity arises.
640,Three may keep a secret if two of them are dead,Be very careful about sharing secrets with anyone.
641,A man’s house is his castle,Privacy and security are of utmost importance when it comes to the home.
642,It takes all sorts to make a world,"The world is made up of many different people with varying backgrounds, so be tolerant toward those with opinions, outlooks, and cultures that are different from yours."
644,"If you don't make mistakes, you don't make anything",We often learn the most through our own mistakes because they show us the areas in which we can improve.
645,Time tries truth,Time will test and determine the truth of anything.
646,A hedge between keeps friendship green,Privacy should be respected in a friendship; one who gets too close may step on the other’s toes.
647,Dog does not eat d og,Wicked people generally leave those alone who act like them.
648,"What you've never had, you never miss",It’s impossible to miss something if you never had it to begin with.
649,A nod is as good as a wink to a blind horse,"Don’t waste your time trying to make a stubborn, il logical person understand your point; it will likely go over their head anyway."
650,Health is not valued till sickness comes,Don’t take things for granted.
651,Let not thy left hand know what thy right hand doeth,Do not brag about doing good deeds.
652,An old man is twice a child,"In old age, a person often reverts back to a childish state."
653,Little fish are sweet,Even small gifts or payments are welcome.
654,Gratitude is the sign of noble souls,"One who lives their life with gratitude is never disappointed, even by severe hardship."
655,Little by little the bird builds its nest,Significant projects are the result of a lot of small tasks.
656,Make your enemy your friend,Turn a negative relationship into a posit ive one.
657,The third time pays for all,"After two fa iled attempts, the third time trying to accomplish something may be successful."
658,Appetite comes with eating,A simple taste of something is enough to incite a craving.
660,Do not cast your pearls before swine,Don’t present something valuable to one who won’t appreciate it.
661,A good name is better than riches,One’s own integrity and reputation are more important than material wealth.
662,Give a dog a bad name and hang him,"If a person’s reputation is blackened, their career or business will suffer significantly, even if they are innocent."
663,Never speak ill of the dead,It is wrong to say bad things abou t people who have died as they cannot defend themselves.
664,The only good Indian is a dead Indian,"This extremist view that American Indians are better off dead than alive was held by many American settlers in the past centuries, as they constantly fought with Native Americans over land and other assets."
665,Things are seldom what they seem,Don’t judge a person or situation at face value.
666,It is easy to be wise after the event,"It’s easy to understand why something went wrong once it’s all over, and much harder to understand the problem while still in development."
667,Everything is good in its season,Every experience has its proper place and time in one’s life.
668,"Hatch, match, and dispatch","Life consists of three prominent events: birth, marriage, and death."
669,Life is not all beer and skittles,There is more to life than fun and games.
670,A clear con science is a soft pillow,One rests easy when there is no guilt on the mind.
671,There is no rose without a thorn,"No one person or object, regardless of how outwardly desirable, comes without some kind of flaw or problem."
672,Little things please little minds,People who are uneducated or uncultured can find satisfaction in trivial sources of entertainment.
673,In peace prepare for war,"To maintain peace, you must be ready and able to fight anyone who can potentially attack you."
674,Little by little and bit by bit,"If you are patient, sm all actions will eventually accomplish what you want."
675,Lightning doesn't strike the same place twice,Very rare events do not repeat themselves.
676,The grapes are sour,This is what someone says when they are bitter about something they want but cannot have.
677,Love and a cough cannot be hid,This is a way to say that you can tell when someone is in love.
678,A still tongue makes a wise head,Those who speak little are often the wisest of all.
679,Fortune is blind,Fortune is random in that it treats both the good and bad among us equally.
680,"Out of debt, out of danger",Borrowing can damage your financial health and affect the quality of your life.
681,A mill cannot grind with the water that is past,Don’t dwell on the past and regret what has already happened.
682,"Where there's muck, there's brass",Dirty jobs may pay well.
683,Exchange is no robbery,"There is nothing wrong with trading two things, as long as the items being swapped are of compara ble value."
684,Punctuality is the politeness of kings,Being on time is respectful and noble as it shows others that you value their time.
685,He who plants a tree plants a hope,"We should perform acts that will benefit others in the future, not only ourselves."
686,The devil finds work for idle hands,"If you don’t have something to keep you busy and productive, you are more likely to get into trouble."
687,Fools for luck,Only an ignorant person lets luck decide their future.
688,Lookers -on see most of the game,People who are not directly involved in a situation may have a better perspective.
689,The best of friends must part,"No matter how close you and a friend may be, your circumstances will eventually separate you."
690,Nothing hurts like the truth,People are sensitive to criticism or mention of their own flaws or failings.
691,A guilty conscience needs no accuser,One’s own guilt is punishment enough for any wrongdoing.
692,"Blessed is he who expects nothing, for he shall never be disappointed",One who expects little will be pleasantly surprised no matter what happens.
693,What can’t be cured must be endured,"If there’s no solution for a problem, you have to put up with the problem until it run s its course."
694,A live dog is better than a dead lion,It is better to play it safe than to suffer in vain.
695,It is a long lane that has no turning,A bad situation can’t last forever.
696,The used key is always bright,Something that is put to regular use remains in good shape.
697,Love makes all hard hearts gentle,Even someone with a stern personality will behave with tenderness when they are in love .
698,"No names, no pack -drill","If a group of people all cover for each other, they can all avoid punishment."
699,Truth is mighty and will prevail,"This is an ironic way of saying, “Truth does not necessarily prevail."
700,The mills of God grind slowly,Fate and retribution come slowly but are inevitable.
701,Work expands to fill the time available,"It is human nature to take the full space of time allotted in order to c omplete a task, even when the task can be completed in less time."
702,A good husband makes a good wife,"If you care for your wife, she will care for you in return."
704,Confess and be hanged,The only way to be rid of guilt is to confess and face whatever punishment awaits you.
705,Experience is the teacher of fools,It can be very costly to always learn through one’s own mistakes.
706,Nothing comes of nothing,People have to take action in order to have an effect on the world.
707,"When poverty comes in at the door, love flies out of the window",People who are in love think they will be happy and secure without money until they are actually in a financially difficult situation.
708,Black will take no other hue,"Evil may cloak itself in various disguises, but its essence will always remain."
709,First impressions are the m ost lasting,"Your first interaction with another person tends to stick in the mind, so it’s important to appear and behave your best when you meet someone for the first time."
710,Anger is a short madness,Anger leads one to act impulsively and irrationally.
711,Better to wear out than to rust out,"Always live your life to the fullest, even in old age."
712,Better to marry than to burn with passion,It’s better to get married than suffer while trying to control the urge of sexual desires.
713,Evil be to him who evil thinks,"One should not maintain ungrounded, bad thoughts about other people."
714,"He who can, does; he who cannot, teaches",This proverb claims that those who are able to perform a task will not be bothered to teach others the way.
715,Help a lame dog over a stile,One who is capable should always help a person in need.
716,Idleness is the root of all evil,Boredom often leads one t o succumb to temptation.
717,"Speak the truth, and shame the devil","Be honest, even when doing so feels difficult."
718,"If you want a thing well done, do it yourself",It’s a better idea to rely on yourself than on someone else for a job or task that is very important and specific.
719,"The mountains are high, and the emperor is far away",A central government has little authority over the regions that are farther away.
720,Don’t have too many irons in the fire,Don’t commit yourself to too many activities at once.
721,He is lifeless that is faultless,"No one is completely free of character defec ts and weaknesses; thus, making mistakes is a natural part of being human."
722,In union is strength,You can achieve a lot more as a group than as an individual.
723,"Sow the wind, and reap the whirlwind","If you start trouble, you will suffer from much more severe consequences."
724,A fish rots from the head down,"Corruption within an organization always starts with the leadership, either by setting a bad example or failing to effectively manage."
725,Don’t teach your grandmother to suck eggs,Don’t waste your energy teaching someone a lesson they already know.
726,Nothing is easy to the unwilling,Your reluctance and lack of motivation can be the main obstacles when you try something new.
727,Do right and fear no man,"If one is acting with integrity and honesty, they have nothing to fear."
728,Lies have sh ort legs,"Liars will soon be exposed, and the truth will be revealed."
729,A great ship asks deep water,One’s pote ntial should not be wasted.
730,He that is down needs fear no fall,"If one is at a low point, the only way to go is up."
731,You can't eat your cake and have it too,"Life is full of trade -offs, and you can’t have everything your way."
732,"If you want something done, ask a busy person","Typically, busy people are better at managing their time and executing a task, while those with little to do are more likely to procrastinate on a project."
733,As well be hanged for a sheep as a lamb,One who has already committed a minor offense may feel justified in committing an even greater one.
734,The devil can cite Scripture for his purpose,Even good or neutral things can be used or twisted for evil purposes.
735,Trade follows the flag,Colonies promote the trade of their mother country.
736,"What’s yours is mine, and what’s mine is my own",Everything belongs to me.
737,No man is a hero to his valet,A personal servant kno ws too much about their master to hold them in high regard.
738,A bully is always a coward,Don’t be afraid to stand up to a n oppressor; those who seem tough on the outside are typically weak on the inside.
741,Great hopes make great men,An optimist is often more successful than their self -defeating peers.
742,"What the eye doesn’t see, the h eart doesn’t grieve over","If you are ignorant about something awkward, unpleasant, or stressful happening, you will be spared the uncomfortable feelings of knowing and distressing yourself about it."
743,Care and diligence bring luck,One who is thorough and persistent will reap the rewards of his work.
744,Love laughs at locksmiths,Obstacles can't stop love.
745,It takes three generations to make a gentleman,Having money and a title is not enough to make you aristocracy.
746,Fear of death is worse than death itself,Death is inevitable and therefore need not be feared.
747,Hard words break no bones,One should not worry about abusive words as they cannot cause physica l harm.
748,"There is no such thi ng as bad weather, only inappropriate clothing",There is no excuse for not spending some time outside.
749,"Admonish your friends in private, praise them in public",Practice discretion when criticizing another person; it is best to avoid the chance of humiliating them as criticism can be a difficult thing to process.
750,Even Homer sometimes nods,No one is perfect; even experts are bound to make mistakes.
751,Every man is his own worst enemy,People often create their own problems for themselves.
752,A clean hand wants no washing,An honest man does not need to spend time refuting groundless accusations.
753,"Give us the tools, and we will finish the job","Any task can be accomplished, but one must be provide d the necessary resources."
754,He who rides a tiger is afraid to dismount,A person who begins a dangerous activity will be so involved and so implicated that carrying on with the endeavor will seem safer than quitting.
756,Life has many ups and downs,We all experience positive and negative experiences in our lives.
757,The day has eyes,"Since daytime is light, thanks to the sun, it’s easier to see thin gs."
758,Dreams go by contraries,This proverb is often employed to comfort someone who has experienced a bad dream.
759,A little neglect may breed great mischief,Pay attention to detail; a minor misstep can cause a big problem.
760,April showers bring forth May flowers,Be patient; a difficult time may blossom into something positive.
761,"If you don't like the heat, get out of the kitchen",It’s best to stay away from high -pressure situations if you can’t handle the risk involved.
762,Take heed of the snake in the grass,Beware of a traitor who is pretending to be your ally.
763,The dog returns to his vomit,A foolish person will repeat the same mistakes they made before.
764,Possession is nine points of the law,"In property disputes, the person who has physical possession of an item is at a clear advantage."
765,The best fish swim near the bottom,The things that are most worthwhile take the most effort to achieve.
766,"When all you have is a hammer, everything looks like a nail","If your set skills or knowledge is too narrow, you may develop a limited worldview in which you apply your skills and knowledge as the solution to every issue you see."
767,"Marry in haste, repent at leisure","If you get married quickly, without making an effort to re ally know your future partner, you will have a long time to regret your decision."
768,No garden without its weeds,"Every situation, however nice, has some downsides."
769,Self-praise is no recommendation,"If someone proclaims that they have positive qualities or made great achievements, people will tend not to trust them."
770,"If it were not for hope, the heart would break",Hope is necessary for us to get through struggles.
771,Birds in their little nests agree,People living in close quarters would do well to get along; any tension could cause a serious problem.
772,A good name is sooner lost than won,"While it may take years to build a trusted reputation, it takes only o ne mistake to tear it all down."
773,Better be alone than in bad comp any,"As people are known by the company they keep, it is better to be a loner than to associate with ill - mannered people."
774,"The more laws, the less justice","More laws means it takes longer to process a court case, and so both the victim and the accused must wait longer for justice."
775,"If you run after two hares, you will catch neither",Don’t tr y to do two demanding pursuits at the same time.
776,"It is not work that kills, but worry",Working isn’t bad for your health; stress and anxiety are.
777,The darkest hour is that before the dawn,Things are always worst right before they get better.
778,Every law has a loophole,"If one tries hard enough, they can find their way ar ound any law or rule."
779,"Full of courtesy, full of craft",One who i s exceedingly polite is often a con artist.
780,Gluttony kills more than the sword,Overindulgence is often the cause of one’s own destruction.
781,A man can only die once,There is no reason to fret over death as it can only happen once.
782,Confidence is the companion of success,"In order to accomplish something, you first must believe in yourself."
783,Even a worm will turn,"If pushed far enough, even the most reserved, patient person will fight back."
784,Good advice is beyond all price,"Words of wisdom are invalua ble, especially when it prevents someone from making a foolish decision."
785,There's small choice in rotten apples,"If you have a lot of options, but they are all bad, it is the same as having few or no options at all."
786,"Wise men learn by other men’s mistakes, fools by their own",Wise people are observant so that they can learn by example rather than t hrough the time and energy wasted in their own failed experiences.
787,You have to crawl before you walk,You have to make great accomplis hments one step at a time.
788,He who lives by the sword dies by the sword,One who is aggressive or violent toward others will likely suffer in a similar attitude.
789,Bees that have honey in their mouths have stings in their tails,Be careful with those who speak sweetly; they are often the most dangerous.
790,Believe not all that you see nor half what you hear,Even one’s own experience cannot always be trusted.
791,Never trouble trouble till trouble troubles you,"Don’t try to fix imaginary problems as they may never hap pen, but face them when they actually come to you."
792,The frog in the well knows nothing of the great ocean,Our imagination is limited by our experiences.
793,Don’t wash your dirty linen in public,Personal matters are better dealt w ith in private.
794,Evil communicati on corrupts good manners,"A wholesome person should surround themselves with like -minded individuals, lest they be influenced negatively."
795,None but the brave deserves the fair,Only those who act courageously will get the rewards they are looking for.
796,"Knowledge is a treasure, but practice is the key to it",Learning is only the first step toward expertise.
797,Old sins cast long shadows,The bad deeds that people do will have long -lasting effects.
798,It’s an ill wind that blows nobody any good,It’s a truly bad situation if there is absolutely no benefit or “silver lining” in it.
799,There ’s many a slip ‘twixt the cup and the lip,Things can always go unexpectedly wrong at the last minute.
800,"When you are in a hole, stop di gging","If you are in an unfortunate situation, stop doing anything that might exacerbate it."
801,A little pot is soon hot,This proverb plays to the stereotype that people with a short stature tend to have a short temper as well.
802,A stumble may prevent a fall,A small mistake may be a warning sign of something worse to come.
803,Faint heart ne’er won fair lady,Apprehension and self -doubt never yield success; you must be bold and assertive in order to attain what you desire.
804,"Adversity makes a man wise, not rich",One gains valuable life experience when facing difficult times head -on.
805,Books and friends should be few but good,One with too many friends won’t be able to find time for all.
806,Every bullet has its billet,Everything follows its proper course and ends where it should.
807,Extremes are dangerous,A person should only do things in moderation.
808,Pity is akin to love,Feeling sympathy for someone involves a tenderness that is like love.
809,"Today you, tomorrow me","This is a pithy way of saying, “I am helping you, since one day I may need help."
810,Punctuality is the soul of business,Respecting deadlines is critical to success in business.
811,"Take care of the pence, and the pounds will take care of themselves","If you are careful every time you spend a small amount of money, in the l ong run, your savings will add up."
812,There are wheels within wheels,There are forces at work b eyond what we can see that affect what happens in our lives.
813,Jealousy is the root of all evil,Many evil behaviors are motivated by jealousy.
814,Man's extremity is God's opportunity,"God’s mercy appears when a person’s circumstances are most dire, with no friend or helper coming to their rescue."
815,A friend is easier lost than found,"A true friendship takes time and effort to build, bu t it can be torn down in an instant."
816,Never spend your money before you have it,It is not wise to spend money that you don’t already have in hand.
817,"A father is a treasure, a brother is a comfort, but a friend is both",Friendship is very valuable and important in our lives.
818,"Sticks and stones will break my bones, but words will never hurt me","Don’t worry about insults and ridicule because even if they may hurt your feelings, you’ll get over it, and they won’ t cause you any real injury."
819,There will be sleeping enough in the grave,"Life is short, so it’s best to spend it doing as much as possible to realize our goals."
820,Through hardship to the stars,"One is willing to endure difficulties to reach a goal, such as winning a contest or being accepted into a competitive program."
821,"As the twig is bent, so is the tree inclined",The experiences of childhood determine one’s character as an adult.
822,Better be envied than pitied,It is preferable to be fortunate and envied instead of unfortunate and pitied.
823,Discontent is the first step in progress,Every solution starts with a problem.
824,There is honor among thieves,"Even criminals, such as thieves, have their own sort of honor."
825,To know all is to forgive all,"If we know enough about the personal struggles of someone, even someone who has harmed us or others, it is much easier to have kind, understanding feelings toward that person."
826,Good clothes open all doors,One will improve their chances of being successful if they dress in respectable attire.
827,Innocent until proven guilty,It’s not fair to say someone is guilty unless you have pro of.
828,You cannot burn the candle at both ends,You will exhaust yourself if you try to do too much.
829,No man is born wise or learned,"Wisdom must be gained over time, and even people who seem very smart had to work at learning what they know."
831,"Soon ripe, soon rotten",Children who develop an extraordinary skill very young w ill become spoiled as they age.
832,"The greater the sinner, the greater the saint","The worse your behavior was in the past, the more impressive it is when you become a better person."
833,Fear gives wings,Fear often enables one to perform incredible feats.
834,Hunger breaks stone walls,A person will do anything to satiate an intense hunger.
835,"Once a priest, always a priest","In Catholic belief, someone who has been ordained as a priest is spiritually and characteristically changed and cannot ever stop being a priest."
836,Promise is debt,"When you make a promise, you owe it to the other person to keep your promise."
837,Queen Anne is dead,This is a sarcastic way to say that information someone has told you is not news but common knowledge.
838,The end crowns the work,The final touches are the details that people pay attention to.
839,A good face is a letter of recommendation,Good -looking people tend to get along better than others in society.
840,A disease known is half cured,Knowing the cause of a problem makes it easy to find a workable solution.
841,Despair gives courage to a coward,Dire circumstances tend to bring out the best in people.
842,"If you're not paying, you're the product",Nothing is for free.
843,A liar is worse than a thief,Lying can be more damaging than theft.
844,The eyes have one language everywhere,Facial expressions are the same in every culture.
845,A good example is the best sermon,Words are limited in how far they can go in teaching a moral lesson.
846,A word spoken is past recalling,"Be careful what you say; once uttered, words cannot be erased."
847,Be just before you are generous,Make sure your own debts are paid before lending to others.
848,Time cures all things,All hurts and frustrations eventually soften or disappear with time.
849,"Every man for himself, and the devil take the hindmost","One should only act for their own benefit, lest others take advantage of them."
850,There is no pleasure without pain,There is always give and take in things.
851,You cannot teach an old dog new tricks,You c an’t expect to change someone who is so accustomed to their ways.
852,A constant guest is never welcome,Don’t take advantage of another’s hospitality; you might just overstay your welcome.
853,"He gives twice, who gives quickly",One should give without hesitation.
854,One lie makes many,"When we tell a lie, we are usually forced to tell other lies to support or hide the first one, and so we become more deeply involved."
855,A bad penny always comes back,A dishonest deed will eventually return to bother you.
857,"So many men, so many opinions","People are entitled to have their own opinions, and each opinion will represent one side of the truth."
858,All are not thieves that dogs bark at,Don’t judge a person by the rumors circulated around him.
859,Caesar's wife must be above suspicion,An important person’s close associates must meet high expectations and take care not to injure their reputations.
860,Praise makes good men better and bad men worse,"People respond differently to compliments; motivated people will take them as encouragement to keep improving, and lazy people will take them as a sign they can stop trying so hard ."
861,Shirtsleeves to shirtsleeves in three generations,Families that become wealthy quickly w ill lose that money within three generations.
862,"Lightly come, lightly go",Items that are easy to get are eas y to let go of.
863,It's better to travel hopefully than to arrive,The joyful anticipation of reaching a desired goal can be better than the goal itself.
864,The leopard cannot change his spots,A person can’t change their fundamental nature.
865,Who keeps company with the wolf will learn to howl,You are influenced by the people you spend your time with.
866,A cat in gloves catches no mice,Don’t be afraid to be assertive and direct to get what you w ant.
867,A man without a smiling face must not open a shop,"A successful person al ways presents a positive, cheerful attitude to the world; he won’t have much luck with a sour demeanor."
868,Empty vessels make the greatest sound,It is often the least intelligent people who are the loudest and most talkative.
869,No man is wise at all times,Everyone makes mistakes.
870,Half the truth is often a great lie,Telling only part of the truth is still a form of lying.
871,"Safe bind, safe find","If you securely lock something up, it will be there when you come back to it later."
872,Good company on the road is the shortest cut,A long jou rney seems to go much faster when in the company of pleasant people.
873,Little pitchers have long ears,Be careful what you say near children because they can hear and understand more than you might think.
874,Only the wearer knows where the shoe pinches,"We can never fully understand what someone else is going through, and often we have no outward sign of what may be affecting them."
876,There is a thin line between genius and insanity,"Often the most brilliant people do, think, or say things the rest of us might find inconceivable or crazy."
877,Tread on a worm and it will turn,Even the weakest of creatures will defend themselves when truly provoked or pushed into a corner.
878,"A prophet is not without honor, save in his own country",People are more likely to believe in a foreign expert than one from their own kin.
879,Custom makes all things easy,"With enough experience and repetition, any task or habit will become like second nature."
880,Fingers were made before f orks,You may feel free to use your fingers instead of a fork when eating.
881,Four eyes see more than two,The judgment of two people is better than only one.
882,Idleness is the key of beggary,Those who do not earn their own keep w ill be forced to beg or borrow from others.
883,"So many countries, so many customs",Each nation has its own culture.
885,Love cannot be compelled,There is no way to make someone care for someone else.
886,Truth lies at the bottom of a well,The truth can be hard to reach or figure out.
887,A man is known by the books he reads,One can learn a lot about a person by observing his interests.
888,Much cry and little wool,A big fuss can be made ab out something with little gain or effect.
889,A fool at forty is a fool indeed,"If you haven’t matured by middle age, you never will."
890,What everybody says must be true,"If you hear multiple people from differing environments all saying the same thing about a given subject, it is likely to be true."
891,An empty sack cannot stand upright,One must eat in order to function pro perly.
892,Charity covers a multitude of sins,Goodwill makes up for one’s sins.
893,"If you are not the lead dog, the view never changes",A leader has more freedom and power and a larger view than his followers.
894,A drowning man will clutch at a straw,"A person in dire straits will attempt anything, no matter how feeble, to re lieve themselves."
895,Short reckonings make long friends,Settle disagreements quick ly to maintain friendships as prolonged arguments can damage relationships.
896,"The nearer the bone, the sweeter the meat","The closer you get to accomplishing something, the more enjoyable the process and the more excited you feel."
897,"Two dogs strive for a bone, and a third runs away with it","When two people are fighting over something, the third party may use this to their advantage."
899,Every why has a wherefore,"Everything happens for a reason, even if the reason is not evidently apparent for everyone."
900,Kind hearts are more than coronets,Kindness and goodness are more important in a person than status or nobility.
901,Venture a small fish to catch a great one,It’s good to make a sacrifice or an investment up front in order to attain a greater reward.
902,"When Adam delved and Eve span, who was then the gentleman","People are equal, and should not be oppressed by class distinctions."
903,A little help is worth a deal of pity,Words of sympathy can only go so far when helping another in their time of need.
904,Better lose a jest than a friend,"One should resist the temptation to make fun of a friend, lest he be offended."
905,Every beginning is hard,The start of a new endeavor is usually the most difficult part.
906,A trouble shared is a trouble halved,One finds solace from pain simply by confiding in another.
907,Don’t cut off your nose to spite your face,"When exacting revenge, be careful not to harm yourself in the process."
908,One cannot love and be wise,Love blinds the reason and makes people do foolish things.
910,Keeping is harder than winning,Maintaining a successful situation is more work than getting it to succeed in the first place.
911,"The tongue is not steel, yet it cuts",Words have the power to hurt.
912,He that goes a borrowing goes a sorrowing,"One should not rely on the resources of others, for one will always remain in debt."
913,"If you can walk, you can dance; if you can talk, you can sing","If you know the basics of a certain task, you can also conquer its more complex or challenging aspects with practice."
914,You never miss the water till the well runs dry,It’s easy to take something for granted.
915,Art has no enemy but ignorance,"As art is the outcome of creative imagination, people who lack this vision may fail to appreciate it."
916,The company makes the feast,"Having the company of good friends is the most important part of a celebration, while food and decorations are less significant."
917,Who chatters to you will chatter of you,Someone who talks badly of other people to you will probably also talk about you behind your back.
918,He who excuses himself accuses himself,"If a person comes up with a lot of excuses and repeated explanations, they just bring people’s attention to the issue, which they may not have otherwise noticed."
919,Never send a boy to do a man's job,Don’t trust a task to someo ne who lacks the skill and experience to get it done.
920,Who says A must say B,"If you make a certain claim or statement on an issue, it follows that you should say and act consistently with that claim."
921,God tempers the wind to the shorn lamb,God is merciful to those who are weak or suffering.
922,The tailor makes the man,How you dress is an important part of how you make an impression on others.
923,Cast not the first stone,One should not judge another person unless they are free of sin themselves.
924,First thoughts are best,Trust your intuition; your first instinct is often accurate.
925,He that hath wife and children hath given hostages to fortune,"If a person commits to family life, they are surrendering their freedom to pursue adventure in life."
926,He that travels far knows much,One gains more diverse knowledge of the world by exploring other regions and countries.
927,A bird never flew on one wing,Why take one when you can have two? This proverb is employed when one of something is simply not enough.
928,Better untaught than ill taught,Never try to learn from someone who lacks proper knowledge because you’ll be misinformed.
